logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
FZD5	-5.53825717830306	7.00676047152348	-105.08591730293	2.32731556923684e-24	5.37609896493711e-20	45.4755708981828	1664.24680801395	5.47711904381058e-21	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
SIPA1L2	4.20631918284071	9.02000474793349	72.1322087906697	1.00988062309218e-21	1.16641211967146e-17	40.0550777940542	1371.07134232574	1.18832969319395e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
RNF125	-5.06808691673113	5.15208580477607	-68.6873719397184	2.22289666462806e-21	1.71163043176361e-17	38.7353564459759	369.259005466747	1.74379297980201e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
OTX2	-3.1263420046428	7.36311279008193	-64.5719676808764	6.01709788060519e-21	3.4748740260495e-17	38.395874180053	698.113451500393	3.54016896397314e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
PRTG	5.64768677162033	10.1087315916135	63.1877836947029	8.53136069579524e-21	3.84263227971406e-17	38.0393574045024	4083.05383021604	3.91483761270926e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
SERPINB9	-5.05066279839154	7.50207880674782	-61.4676971947054	1.33078174189232e-20	3.84263227971406e-17	37.6220827639828	1876.89950727517	3.91483761270926e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
FLNC	4.60398611219899	8.12678402690034	61.6780100531025	1.25954145651437e-20	3.84263227971406e-17	37.5068448094351	811.66238731674	3.91483761270926e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
TNFRSF19	6.1408036868298	8.35763173279474	61.9828942267428	1.16336676529939e-20	3.84263227971406e-17	37.3669467728469	1354.57148350212	3.91483761270926e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
ME2	-3.51513467879243	5.9268090261887	-60.7085906001182	1.62566598077702e-20	4.00739911123083e-17	37.3063623363227	309.02395092787	4.08270051043019e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
CPE	-4.24511174345497	5.87097076506812	-60.4641579257566	1.73480481005664e-20	4.00739911123083e-17	37.2154750300507	415.915793128472	4.08270051043019e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
KIT	-6.49588601865113	4.58564680200989	-59.7830722874853	2.08200392664335e-20	4.37220824595103e-17	36.1958119927945	484.633386235993	4.45436462453294e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
EPCAM	-4.68129895002192	5.26344120718864	-58.9349649500578	2.62061192902884e-20	5.04467796338052e-17	36.6528497405553	333.046212705844	5.13947044563869e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
NRP2	2.98882690060889	10.1909296715871	57.0392452348163	4.43611797182234e-20	6.83162167660641e-17	36.4291573553163	2333.50791021604	6.95999188800049e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
EHD3	3.79545830187864	7.18949888536689	57.5168561800996	3.87888994053374e-20	6.83162167660641e-17	36.3568443814632	350.682030781344	6.95999188800049e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
KDR	4.88654552066471	7.27285036387437	57.2058017102612	4.23271487254698e-20	6.83162167660641e-17	36.0848314761449	478.72465081924	6.95999188800049e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
IFITM1	-4.01122877084205	5.57749625143622	-56.4400549987722	5.25806551937981e-20	7.5913320936046e-17	36.1228572534255	304.130536021071	7.73397771301232e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
IGSF3	2.803598399925	7.92518130929975	55.8602606470937	6.20871834922746e-20	7.9678552148419e-17	36.0694706049243	464.693648310046	8.11757592636625e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
CAMKK2	-3.18644304267377	5.90336189183284	-55.9748775130788	6.00724262554807e-20	7.9678552148419e-17	36.0605487088237	260.795051271091	8.11757592636625e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
LIPG	3.74112449498372	7.71133948593084	55.5312532364171	6.82793290665712e-20	8.13127328823501e-17	35.9218638667443	496.132808151586	8.28406472200075e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
CLMP	-3.59234937634341	5.94074342457396	-55.4166576701712	7.05873355139729e-20	8.13127328823501e-17	35.9035621330478	323.107279419285	8.28406472200075e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
BAMBI	4.08252183547455	7.6256100651393	55.2579887583757	7.39206662566819e-20	8.13127328823501e-17	35.8052095014009	507.372688103669	8.28406472200075e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
LRRN1	-2.58650341314208	7.49270007008472	-54.6819685103323	8.74976137029613e-20	9.18724943881093e-17	35.7529415786699	595.35594319698	9.35988328893013e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
MANEA	-3.75474188096269	6.37358223129805	-54.2604941035907	9.90978620645917e-20	9.53584041821562e-17	35.6062525523971	472.141195123847	9.71502449898788e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
PRDM1	-3.71491255253528	5.33429728625008	-54.1238165261151	1.03201736127875e-19	9.53584041821562e-17	35.4501603763659	225.347368337904	9.71502449898788e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
SESN3	5.4592013298569	7.87231904877494	54.2466994241776	9.95040888795471e-20	9.53584041821562e-17	35.3965764378892	824.038621977832	9.71502449898788e-18	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
MMP2	3.5725975508391	7.83394899037928	53.4754428560923	1.25282525222325e-19	1.11308705101373e-16	35.3557502278195	520.032996437347	1.13400261496071e-17	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
SEMA3E	-5.67662984971072	4.78214285128327	-53.2051630685242	1.35922110326164e-19	1.16288916612385e-16	34.8759203188413	379.856927628154	1.18474054126577e-17	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
LAMB1	2.64538060634041	9.23621514476216	52.7414830335294	1.56471966595626e-19	1.29089372441392e-16	35.1693699523751	1112.41673749606	1.31515038090556e-17	3.52470544531048e-08	0.155053779555271	0.174594808275135	TRUE
