logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
DACT1	6.74113991541366	7.19968562707065	44.6440839796377	3.76429028858483e-16	5.32278856106279e-12	26.1442758389409	697.171432152151	1.02890154635449e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
KIT	-6.59067234202292	4.5682733132046	-42.0892452410404	8.34673489414293e-16	5.32278856106279e-12	25.9138906833316	499.222873649953	1.02890154635449e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
SOX17	-6.51960192622279	4.53262247802194	-41.7813356846574	9.21694988928622e-16	5.32278856106279e-12	25.8230304983108	480.67645338267	1.02890154635449e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
APLNR	9.76528460922163	7.73989597920833	42.9570160979957	6.33553267283996e-16	5.32278856106279e-12	24.4635443542831	2047.8914413758	1.02890154635449e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
RNF125	-5.10533350093277	5.18038169093034	-40.1521307343635	1.57695034369357e-15	7.28551058786427e-12	25.6981899241193	380.352623382351	1.40829811739484e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
TNFRSF19	5.81710280129298	8.18776178950617	39.2839880871082	2.11803082754863e-15	8.15441868606224e-12	25.4333436344467	1123.81067438498	1.57625911671309e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
FZD5	-5.37158855426416	7.15513196686645	-38.8249160366017	2.48204252608292e-15	8.19074033607363e-12	25.5115662147932	1714.22778938202	1.58328013613442e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
CPE	-4.30637189876366	5.87111854879756	-38.0765292605964	3.22722242703681e-15	8.76448659266851e-12	25.1879589446916	428.381340482166	1.69418599005917e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
CCKBR	-7.8763758663034	3.46310441988878	-37.9173977078209	3.41473503610461e-15	8.76448659266851e-12	23.992052750595	419.142474157128	1.69418599005917e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
SEMA3E	-5.49354880539204	4.95977906825033	-37.5420583726129	3.90493427808411e-15	9.02039818237429e-12	24.8366370902374	391.338947251177	1.74365401370085e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
SERPINB9	-5.1190958795244	7.49244557673452	-35.9679499920583	6.95547557356762e-15	1.33892904791177e-11	24.5578580272995	1933.99242342627	2.58816624416186e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
ME2	-3.51198645566406	5.97439274962646	-36.0877857209075	6.65066737958212e-15	1.33892904791177e-11	24.5407366087619	318.358689999073	2.58816624416186e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
EPCAM	-4.37504073766215	5.50321497998799	-33.8665317846574	1.56436105602573e-14	2.77974926109188e-11	23.6944539436557	343.085121387933	5.3732893583962e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
NUDT4	-3.03721362044609	7.5870892283007	-33.5649029212009	1.76445208315993e-14	2.91134593721388e-11	23.6682601270793	782.332401918271	5.62766734467864e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
IFITM1	-3.87040311410178	5.7029003497444	-32.5544235620478	2.66155774363095e-14	3.67536195765422e-11	23.215766304119	313.265320622035	7.10451966720207e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
DUSP4	-4.3299161440214	5.78854431719736	-32.5397139678452	2.67777743042996e-14	3.67536195765422e-11	23.2097379963359	411.92218393062	7.10451966720207e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
RAB17	-4.84995460100265	4.43885363966015	-32.5154076593826	2.7048118303083e-14	3.67536195765422e-11	23.0385105487657	205.343877191017	7.10451966720207e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
SORCS1	-6.58810213435124	2.92347582846048	-32.2124006974572	3.06754258974327e-14	3.9366796568372e-11	22.2311892713551	161.845010814124	7.60964997943351e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
LIPG	3.55141391999043	7.63133126218853	31.9127535324584	3.47803322163053e-14	4.22855617998238e-11	22.9643415127116	449.95204054003	8.17385087256214e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
CLMP	-3.93079804011204	5.77285611286594	-31.6801681964658	3.8372085652728e-14	4.43197589289008e-11	22.8708126120803	332.863607173512	8.56706366839022e-12	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
MOXD1	5.70390115132576	5.42067338694681	30.6507732375654	5.97945785729447e-14	6.57740364302392e-11	21.5964471404549	160.113315490506	1.27142017791398e-11	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
CALB1	-4.87053273550258	3.78747918080393	-30.3325194748066	6.87856589388834e-14	6.9132744594122e-11	22.0647400349978	131.216511912796	1.33634441797965e-11	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
PELI2	4.88398057810586	5.77682309303858	30.3309489464287	6.88334686434981e-14	6.9132744594122e-11	21.8856081343808	169.472018511535	1.33634441797965e-11	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
FGF17	-12.7365979975994	1.82625252138876	-30.0423093105071	7.82558842559908e-14	7.53212885963912e-11	18.6170945338862	1298.50408004948	1.45596973130125e-11	2.08444530585746e-07	0.297247922037656	0.329782984955399	TRUE
