logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
BMP4	3.89871596711466	6.11557666558533	71.6030313375028	2.79044262367135e-26	6.44592246068082e-22	49.563263940096	270.054604673972	8.25729915265211e-23	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
APLNR	4.53791392031871	7.70818861646324	58.4950681204433	1.79758103900705e-24	2.07620610005314e-20	46.1106798241434	1008.8909075366	2.65964335985656e-21	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
SESN3	3.30858658996755	7.13522661547367	52.3535841592893	1.75955187717356e-23	1.01614120906773e-19	43.914815670858	444.428469607932	1.30168831471231e-20	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
NID2	4.78646785119251	4.7171827668568	52.979175639999	1.37840575180608e-23	1.01614120906773e-19	43.470157898553	145.870843787497	1.30168831471231e-20	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
KCTD12	4.857693614818	6.03027907544226	47.3990284738288	1.35531535469587e-22	6.26155693869493e-19	41.7863977169538	359.656828979032	8.02112484590882e-20	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
LUM	4.28109185252951	5.04647802998217	45.1083236542647	3.74324349281474e-22	1.44114874473367e-18	40.6746164336833	149.633851758743	1.84612774685443e-19	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
ANTXR2	2.5805051971916	5.81418054762691	44.7428799975479	4.42244676731144e-22	1.45940743321277e-18	40.7314161678579	138.554089991279	1.86951733210412e-19	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
SLIT3	6.03378681159957	5.14595002286293	43.5317382051951	7.76016184817221e-22	2.24074673365973e-18	39.7852184276489	308.258719933011	2.87042176166702e-19	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
PMP22	4.68282478569916	4.69149123093692	42.4715070244828	1.28580661410018e-21	3.30023697619045e-18	39.3785222818251	134.776839724064	4.22764067567924e-19	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
EPCAM	-2.77868467043157	7.04626661867139	-40.935896059371	2.73210275304416e-21	6.31115735953201e-18	38.9816807875509	356.669949299181	8.08466354272801e-19	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
CDH11	3.75809118532517	7.68351084971934	40.314348053412	3.73598917417412e-21	7.84557726576565e-18	38.6733750190557	759.806832102437	1.0050272696242e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
HEY2	2.959319017018	4.26833387662283	40.105745245904	4.15410803197317e-21	7.99665796154835e-18	38.3405091265221	54.5726217479319	1.02438087663512e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
ADGRL2	1.97375643205742	8.98452286373928	39.6377795406784	5.28067462421079e-21	8.7131131299478e-18	38.316556033737	1026.07110759353	1.11615958931782e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
LGI1	4.05368518424931	5.15259724957049	39.6379759372736	5.28013980570983e-21	8.7131131299478e-18	38.2402974233453	165.760097185479	1.11615958931782e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
S100A10	2.54739476619646	6.84725077416837	39.2490703025822	6.459034960188e-21	9.94691383868951e-18	38.1254671901732	280.693314122756	1.2742108474423e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
PLXND1	2.25258302190574	7.55616329673508	38.9630414133968	7.50030368884441e-21	1.08285634507691e-17	37.9745265949884	411.704138541932	1.38715115411164e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
F2RL1	3.54806745991524	7.39416983618746	38.3972684447064	1.01123876823871e-20	1.37409503213613e-17	37.6756294977019	634.286978010719	1.76023118703832e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
PRSS23	3.24834688478886	8.25847511637192	37.3669293715084	1.76215371467724e-20	2.21248257871562e-17	37.1084139515281	982.299537696503	2.8342150613702e-18	5.94163749411476e-08	0.199416131448226	0.220230473751601	TRUE
