logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
DUSP4	-5.73359991457693	5.5355678472785	-65.5812252774524	5.8827956187122e-19	1.25612835377164e-14	33.3711565066081	910.377221280286	1.46343006677791e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
S100A16	-4.89615170004269	4.0882895938643	-60.9980135846539	1.63133552437876e-18	1.25612835377164e-14	32.2165872113467	216.694104947301	1.46343006677791e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
EDA	-6.06852900287335	3.91193555644663	-61.6883901402018	1.39234207456909e-18	1.25612835377164e-14	32.1734895288144	353.156883210041	1.46343006677791e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
RHOB	3.05658018910346	8.32629197382875	54.4120147752501	8.140436537749e-18	3.76088168044004e-14	31.1374814025294	545.164849987629	4.38154851948414e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
EHHADH	-5.21681137907709	3.86878721921477	-55.1739619129281	6.69447064428518e-18	3.76088168044004e-14	30.9446546336903	220.737781592886	4.38154851948414e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
ACSM4	-10.6668725928048	-2.93325788736681	-52.5854358813829	1.3156702137371e-17	5.06533032288785e-14	24.7236380845349	33.5055203786516	5.90127328184135e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
PLXND1	3.49782606030454	7.76617259982645	51.3509101332925	1.83725006307671e-17	6.06292520815313e-14	30.2804064708327	399.502416158815	7.06350351506358e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
CCND1	4.25893745944083	7.32337644849176	50.5315720099554	2.30321908847528e-17	6.65054511797236e-14	29.810911954614	334.990894407592	7.74809967220367e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
SORCS1	-5.99153736428857	3.43202381388281	-49.6016991168681	2.99000838684251e-17	7.67435485956243e-14	29.4745527817447	241.441408772447	8.94087105898459e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
TTC39B	-3.63632108918127	4.99629624734454	-48.9682654619838	3.58169292277636e-17	8.27371065161339e-14	29.7099224490057	211.266455599674	9.63913989763571e-15	6.16440605162994e-08	0.178712035496717	0.188325918055648	TRUE
