logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
HSPG2	1.81798931985677	9.56146387892093	41.5346401630929	1.06360160261577e-10	1.32757070030229e-06	15.4376314560164	1417.90290059235	1.9784593104432e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
CALD1	1.68052885915499	9.45060907025902	37.9266555412495	2.20693025775388e-10	1.32757070030229e-06	14.7436993682242	1252.96337294225	1.9784593104432e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
COL2A1	2.27617309030052	9.09793513023104	37.7344364097567	2.29882372346717e-10	1.32757070030229e-06	14.6917455727433	1207.63625818312	1.9784593104432e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
KIAA0040	-3.52591374147864	4.34049047165332	-40.6834498526698	1.25613269882456e-10	1.32757070030229e-06	13.1148868696187	68.8327216175555	1.9784593104432e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
ACTC1	1.92290531811971	8.43864693284696	35.6707141766588	3.61040004258696e-10	1.39000401639598e-06	14.2408538188213	676.49526337205	2.07150277357422e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
MIR22HG	2.36443573685512	5.57527880416972	36.0165406249955	3.34142960411595e-10	1.39000401639598e-06	13.8411768577683	108.106481662836	2.07150277357422e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
TLN2	-1.61550578804366	6.45258237643198	-34.1680162276313	5.09915792310802e-10	1.41688925323422e-06	13.785361456163	153.458039777853	2.11156945109578e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
FAM219A	2.07708315586061	6.41527853543905	33.8315255545906	5.52034773987359e-10	1.41688925323422e-06	13.6858466751384	175.193471180032	2.11156945109578e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
MAP1A	5.85045760100953	3.5571577108253	34.6478222438388	4.55958844176506e-10	1.41688925323422e-06	9.57219677684882	89.6866262837562	2.11156945109578e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
CCN2	1.77666851220829	7.52044311543534	33.2593683813288	6.32935085695477e-10	1.42783628011457e-06	13.6721456135419	340.275380696033	2.12788364607475e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
VIM	2.01074910961343	9.97695358751556	32.9635892614191	6.79922038149795e-10	1.42783628011457e-06	13.6456868918771	2027.85012424205	2.12788364607475e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
RHOB	1.64097374270084	6.3182718688836	31.7722968927561	9.132084855967e-10	1.75792633477365e-06	13.2394944681764	141.092629163599	2.61981205469077e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
COLEC12	-1.00446178724433	9.09937947404247	-31.176965516804	1.06261807265635e-09	1.88819057525858e-06	13.2002455894535	777.066874345585	2.813942958112e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
ENSG00000289205	-1.85937912741193	5.80671914577798	-29.4858158786803	1.66071607449724e-09	2.65715486676528e-06	12.622892216589	106.765230757244	3.95991926022785e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
BHLHE40	1.807518827546	5.93476284420984	29.3453087105954	1.72542523815927e-09	2.65715486676528e-06	12.6051980284136	114.540061723715	3.95991926022785e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
MLLT11	1.09639776784014	7.76266434547549	28.8256693340164	1.99056949014808e-09	2.87388470140129e-06	12.5726265398807	317.675742631788	4.28290858131545e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
JAKMIP3	-2.79609208173291	4.26642747991393	-28.5396713521957	2.15583923538264e-09	2.929405078667e-06	11.6759808612648	50.7757529497832	4.36564979223225e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
THBS1	1.51372779350086	6.49684551446398	27.8492057610245	2.62221668288296e-09	3.11345855079859e-06	12.2740355531201	152.814944730686	4.63994200542678e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
PEA15	1.78959212949777	7.25023385983168	27.3049677806183	3.07029352756603e-09	3.11345855079859e-06	12.1394989797242	283.824433259403	4.63994200542678e-07	6.87349531304204e-07	0.236813607365312	0.260851620004127	TRUE
