logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
FAM83G	-3.76609220317267	5.74926866759663	-65.5338495853107	3.09505993612818e-17	1.9971684566357e-13	29.905333539733	303.574690677889	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
TNFAIP2	-5.59637482355403	4.95739126814449	-64.7002863585532	3.63040491202752e-17	1.9971684566357e-13	29.324962392011	409.823615528077	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
ATOSA	-3.58329605130629	5.71224065063087	-61.9648495886476	6.21910637078826e-17	1.9971684566357e-13	29.2712361283614	271.835669258359	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
SYDE1	-5.94558352024267	5.2060025812999	-59.5037218755079	1.03037877332325e-16	1.9971684566357e-13	28.5005360390067	574.843045867666	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
MICALL2	-5.36832159761822	3.83548979109973	-63.4908997409226	4.5927656157284e-17	1.9971684566357e-13	28.4101881270474	168.972564168349	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
ADA	-5.21115839415763	4.24530611469641	-59.7219390939206	9.84452066583923e-17	1.9971684566357e-13	28.1892069919981	208.696295537727	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
PRR9	-7.29969564386177	4.58657342495038	-61.1326134410754	7.360213813763e-17	1.9971684566357e-13	28.1375531122291	695.38934621466	2.58466533068421e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
GPR78	-5.15077560538737	4.24391574303811	-58.7862783025634	1.19843447597488e-16	2.03254487125339e-13	28.0444240982569	202.124377125341	2.630448245031e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
TLE5	-3.11371704132601	7.34626029699025	-58.1725626450136	1.36577480259941e-16	2.05898139129653e-13	28.5999769991646	680.180651996656	2.66466146154381e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
PTPRE	-4.08303386290152	4.24461210185312	-56.1190464818829	2.13666568696116e-16	2.89902800406891e-13	27.7466764988457	123.867796454952	3.75182030834885e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
PHLDA2	-5.64465178675249	5.33747315090709	-54.7747917887973	2.88952810434884e-16	3.56410157452774e-13	27.6666075784359	542.535546081766	4.61253518405593e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
LMTK3	-2.83492645968636	5.54536425030554	-54.1058814675469	3.36707481442237e-16	3.80703925684022e-13	27.6905413686191	171.44892109672	4.92693660718255e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
ENGASE	-3.52812797598645	5.38042213304124	-53.6656346192496	3.72749740104395e-16	3.89036036441264e-13	27.5621980350423	210.367140125595	5.03476786064597e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
TIMP2	-2.85183687095468	4.93857392086903	-52.7682419810804	4.59796447538785e-16	4.45608442871874e-13	27.3393027484607	113.480492662448	5.76690809192564e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
PDLIM2	-2.87724039199133	7.09035841242602	-52.0375943623364	5.46915412026168e-16	4.51583004256137e-13	27.251607594152	510.079851734012	5.84422876873006e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
UBALD2	-3.39037736419778	6.66484465086893	-51.7217065924491	5.89962306108674e-16	4.51583004256137e-13	27.1725637338003	482.45256956943	5.84422876873006e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
SLC38A3	-5.10566733623407	5.19663618229706	-51.6579050648481	5.99093018618107e-16	4.51583004256137e-13	27.012509047644	386.634244497507	5.84422876873006e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
ADAMTS20	-5.60933034118563	3.64161672212775	-51.9310767793171	5.61039278611043e-16	4.51583004256137e-13	26.3161661627593	165.578451773117	5.84422876873006e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
GNG12	-2.44999999850302	6.83675803989585	-51.2555200109949	6.60312991451297e-16	4.71532982526905e-13	27.0667789539246	351.641996346589	6.10241438653828e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
MRGPRX1	-4.2292103051446	4.95221679319332	-51.0318934869554	6.97229676835739e-16	4.73000612765365e-13	26.8834169310593	217.555843389803	6.12140794205438e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
PRKAG2	-2.93698655101833	5.19417055007293	-50.1084745965033	8.75051402446855e-16	5.65366544209473e-13	26.7480317490194	140.929320241462	7.31677541316944e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
NOTCH1	-3.76255194582485	6.3927940100352	-49.3758193717082	1.05099426276867e-15	6.48176825329335e-13	26.5995858756623	474.787077121104	8.38847701111713e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
RELT	-3.04141001640079	4.88594886094926	-48.8109641963087	1.21268057173783e-15	7.15376086840822e-13	26.405985573203	119.430346804532	9.2581462716106e-14	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CGB3	-5.7046398316648	6.55118481071753	-48.1069906449572	1.45279063490174e-15	8.21310972264449e-13	26.2650379186944	1297.2253487059	1.06291183834258e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CDKN1C	-2.48575782421186	9.80056848790453	-47.0596508272104	1.91010008446282e-15	9.96778382538134e-13	26.0075194570186	2787.07190670332	1.28999560310587e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
FIBCD1	-3.79695726554118	4.23030646335592	-47.2024577661297	1.83948814408927e-15	9.96778382538134e-13	25.8631341478935	107.353329190345	1.28999560310587e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CSNK2A2	-2.75487431028568	7.22385068945897	-46.833891336814	2.02776815315331e-15	1.01899104822163e-12	25.9511390913029	530.330981083855	1.3187424555326e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CGB8	-5.70881416881109	7.53442857481321	-46.3553052296468	2.30391941290905e-15	1.09007055684435e-12	25.8214382972017	2582.72197067245	1.41073106122522e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
GPT2	-2.96321531336436	6.52788294484047	-46.3135079928432	2.32989726919856e-15	1.09007055684435e-12	25.8124754901549	359.96897536091	1.41073106122522e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
OTUD3	-2.84662392076338	4.82323934231779	-45.756845171603	2.70774140603191e-15	1.22462117990137e-12	25.631723090522	104.477555751438	1.58486175585038e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
ADM	-3.25014420105894	6.05928136679983	-45.5916128660051	2.83225519893228e-15	1.23961414642301e-12	25.617055961511	297.179578039731	1.60426512698006e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
MMP15	-3.22909596074038	6.8073739848749	-45.0719810549926	3.26584483871552e-15	1.35006705907798e-12	25.4739920168913	494.716172784503	1.74720941045493e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
FNDC3A	-2.24694357231808	7.2913671580729	-45.052291701039	3.28362418555228e-15	1.35006705907798e-12	25.4666750435604	438.805131758205	1.74720941045493e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
VEGFA	-2.41505594011808	7.60824141681991	-44.7960468077798	3.52479038365178e-15	1.36641016929678e-12	25.3960326384754	590.082925592455	1.76836009017738e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CAV1	-6.64040399973071	2.79634952798183	-44.8153703529296	3.50595318215137e-15	1.36641016929678e-12	23.871870326108	148.924635575964	1.76836009017738e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
TCL1B	-4.46262102204328	3.67103394310873	-44.4276299087661	3.90565147916088e-15	1.47199664636819e-12	24.9383726796002	99.5829174830497	1.90500640349602e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
FBN2	2.03168594089217	8.9442173497552	44.2863209201252	4.06332765564592e-15	1.49003323329199e-12	25.2541311489541	790.223509074585	1.92834872134154e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CKMT1B	-5.60342836112244	3.14170469119424	-43.3479854918598	5.30165382315986e-15	1.89296944927982e-12	24.1920662188656	116.075102613652	2.44981463198144e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
HDAC5	-2.46649536171348	7.52891599949856	-43.0358990401336	5.79941365692013e-15	2.01760114095109e-12	24.8931231932155	572.879889971627	2.61110859368855e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
STON1	2.08337331489787	6.95060496459539	42.3589560569358	7.06134546171498e-15	2.39520838061372e-12	24.7023441148005	200.792449976393	3.09979463202879e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
LRRC8D	-2.03746447981437	5.80236395375062	-42.0566459423883	7.71806244206327e-15	2.55411393204669e-12	24.6106128586138	141.79194978713	3.30544462027961e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
SMOX	-3.18924638582665	4.45538220488122	-41.927491105823	8.018474012964e-15	2.59034893828323e-12	24.5428651706031	94.9291152635698	3.35233869376927e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
EHD1	-2.36179197159502	7.79869455252966	-41.5671125413448	8.92549213510575e-15	2.79577325298789e-12	24.4567200648549	657.244921107925	3.61819163298057e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CGB5	-6.12540083568985	6.63977868169432	-41.5146634191989	9.06648165768479e-15	2.79577325298789e-12	24.4550326860741	1686.90797655138	3.61819163298057e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
AIF1L	-2.26610879943066	7.62717778609989	-41.3701125187782	9.46764508692449e-15	2.85460018976425e-12	24.3956338178615	558.023974223564	3.69432339016462e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
FOXO6	-2.09117657007927	7.65314174586518	-41.2695668882528	9.7579638557139e-15	2.87817507813753e-12	24.3645449401574	524.018285287821	3.72483318339247e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
TBC1D10A	-1.81647512507609	6.00013973800078	-41.0803108397202	1.03308340982384e-14	2.98231397967868e-12	24.311965926976	146.796880282944	3.85960609525909e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
GNE	-2.38482062306679	6.32820440971262	-40.9001421434121	1.09100499270477e-14	3.06455611216089e-12	24.2551411321089	240.134074402943	3.96604097702484e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
NFKB2	-2.93474061458244	5.83898351050013	-40.7944185516307	1.12661846884909e-14	3.06455611216089e-12	24.2321241895483	220.389643706194	3.96604097702484e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
AXIN2	-2.19779217773349	5.94223955944416	-40.7214793874745	1.15191893956519e-14	3.06455611216089e-12	24.2041981777133	168.318026390488	3.96604097702484e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
MFSD13A	-4.42088247289898	3.09114079355601	-40.7818534045252	1.13093383045976e-14	3.06455611216089e-12	23.7593515708335	65.1721849315993	3.96604097702484e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
KAZN	-2.349137831122	6.12810657086311	-40.4939927645523	1.23484719769595e-14	3.22200130352666e-12	24.1317158292016	205.278759603973	4.16980101852457e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
SLC2A12	-3.73199506590294	5.19669280540737	-40.244294369965	1.33335413342496e-14	3.30604664887876e-12	24.0690433670451	204.627097911403	4.27856955510705e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
BAIAP2	-2.04104907109889	6.31198280004102	-40.2427332614147	1.33399605402428e-14	3.30604664887876e-12	24.0490102651179	202.120043219852	4.27856955510705e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
CLEC11A	-4.4677909875291	3.40254264906178	-40.1694131217316	1.36452397064571e-14	3.30604664887876e-12	23.7311217978711	82.9074836744602	4.27856955510705e-13	3.48262298824132e-08	0.129416490736999	0.138561320754717	TRUE
