logFC	AveExpr	t	P.Value	adj.P.Val	B
FAM83G	-3.74839277732884	5.74732851297235	-66.9570879222371	6.4664560956293e-19	4.68812322469395e-15	33.5801370180344
TNFAIP2	-5.58004766134726	4.95545111352021	-67.2885731483751	6.0367222672271e-19	4.68812322469395e-15	33.1676745194546
ATOSA	-3.56510711835966	5.71030049600659	-63.6036771456538	1.32231180156154e-18	4.68812322469395e-15	32.9369195779325
SYDE1	-5.92971932532367	5.20406242667562	-62.3222612097098	1.75535831683757e-18	4.68812322469395e-15	32.3391224278308
PRR9	-7.28206929632193	4.5846332703261	-65.7973275570811	8.24753401615893e-19	4.68812322469395e-15	32.2392162480991
GPR78	-5.13114498512063	4.24197558841382	-62.853776378318	1.5596654279645e-18	4.68812322469395e-15	32.0589037924595
ADA	-5.1929502339642	4.24336596007212	-62.5006374546018	1.68690132339017e-18	4.68812322469395e-15	31.9835336191951
MICALL2	-5.35022580230125	3.83354963647545	-64.6278769277054	1.05865864687487e-18	4.68812322469395e-15	31.9598599018027
PHLDA2	-5.62539856361941	5.33553299628281	-59.4939692398998	3.35007915868121e-18	7.95308792270918e-15	31.8665973154196
TLE5	-3.09636507101707	7.34432014236596	-56.9934316807289	6.08803658995092e-18	1.18251808891719e-14	31.5890479055046
PTPRE	-4.06513194142979	4.24267194722883	-57.7750308350026	5.03726995539005e-18	1.07626309866864e-14	31.286550797124
ENGASE	-3.50954841191865	5.37848197841696	-56.1169605253453	7.55246767428323e-18	1.34471686940613e-14	31.2861599613026
PDLIM2	-2.85957049641925	7.08841825780174	-54.2900496821806	1.19664030299909e-17	1.77466247405286e-14	30.9373922738879
LMTK3	-2.81698975159614	5.54342409568125	-53.9349717899307	1.31094405200925e-17	1.77466247405286e-14	30.8021420139955
CGB3	-5.68630218859918	6.54924465609325	-53.4274575341895	1.49508211798893e-17	1.77466247405286e-14	30.6747185698808
MRGPRX1	-4.21382671476911	4.95027663856904	-53.8360523461016	1.34483157212678e-17	1.77466247405286e-14	30.6390543022865
SLC38A3	-5.08946715916639	5.19469602767277	-53.5146800923063	1.461560714164e-17	1.77466247405286e-14	30.5531529738207
CGB8	-5.69096858645735	7.53248842018893	-51.9927313719274	2.18265411514439e-17	2.45445199074605e-14	30.3395483131992
UBALD2	-3.37300418497852	6.66290449624465	-51.5825582630331	2.43662286793198e-17	2.57345244596756e-14	30.2393306437751
TIMP2	-2.8341347304918	4.93663376624474	-51.444080004521	2.52936915498075e-17	2.57345244596756e-14	30.1181918961333
ADAMTS20	-5.59232457765779	3.63967656750346	-55.0992742272889	9.74135982251968e-18	1.60102995359966e-14	30.0599571855892
RELT	-3.02368634473136	4.88400870632498	-49.9267755124158	3.83411173468327e-17	3.72361960560195e-14	29.711996509829
NOTCH1	-3.74561640055347	6.39085385541092	-49.3172364279704	4.5474916661103e-17	4.1082754596233e-14	29.6230308599247
CDKN1C	-2.4686534129298	9.79862833328025	-48.7294977805261	5.3714523616662e-17	4.27350959156719e-14	29.4656432013059
