logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
CDH5	-5.77060939730906	5.58172346026033	-51.8257842428639	2.03771682160705e-15	2.42855783051681e-11	25.4673157434623	683.744297052346	4.71618878067503e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ADA	-4.96879124094579	4.41973136733029	-48.8570309403224	4.10682518024368e-15	2.42855783051681e-11	24.6393619234047	210.63614978865	4.71618878067503e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
FAM83G	-3.84043320942619	5.70872503610599	-45.9071065718876	8.6031491440256e-15	2.42855783051681e-11	24.3891912974043	306.427876005612	4.71618878067503e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
SYDE1	-6.14377857313112	5.09990222705966	-46.2936370918768	7.78811214828946e-15	2.42855783051681e-11	24.1691751659584	579.929242219204	4.71618878067503e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
MICALL2	-5.90301996154928	3.50159815229725	-45.7358835551155	8.99332628690866e-15	2.42855783051681e-11	23.3455716541158	170.511384198466	4.71618878067503e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PTPRE	-3.97314692879748	4.3310397274047	-43.4741727395149	1.64166511330692e-14	3.69429372664501e-11	23.5700761438721	125.054969144456	7.17421113353254e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PRR9	-8.0317050126599	4.13231036530314	-42.8639784971229	1.94134697110948e-14	3.7445809719886e-11	22.6670389733501	701.732831349872	7.27186750363017e-12	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ENDOU	-5.21896186679665	2.96307065851131	-40.1480049304826	4.21845936844788e-14	7.1197047990979e-11	21.98034564042	86.3302950655558	1.38262599610725e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
CSNK2A2	-2.82058386167291	7.19391412754629	-39.2251363318238	5.5567899192191e-14	8.33641972103293e-11	22.6644542383101	535.132721705627	1.61890850056335e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
GNG12	-2.36687997822461	6.90576397384527	-37.6177770922439	9.12087833673113e-14	9.77289366425643e-11	22.1849636445723	354.783923043626	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
MRGPRX1	-4.39483945196892	4.86786578988888	-37.939888689904	8.24502445291553e-14	9.77289366425643e-11	22.1787787291897	219.563415250137	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ENGASE	-3.51595116114249	5.40232738949269	-37.6861127650682	8.92697333677233e-14	9.77289366425643e-11	22.1758417229078	212.355014121858	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PHKG2	-2.76470733899368	5.81574149332471	-37.0681074492571	1.08571622695783e-13	9.77289366425643e-11	22.0081079694784	200.117371129452	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
MFSD13A	-3.89042750021724	3.45613937216043	-37.2770111200288	1.01583861677298e-13	9.77289366425643e-11	21.7226312525458	65.7823593480362	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ADAMTS20	-5.78503802318917	3.52770159239299	-37.1475407577172	1.05855097865301e-13	9.77289366425643e-11	21.4639443275749	167.108003296622	1.89786756876561e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
TLE5	-3.13785168498587	7.34427744936998	-36.7810264651614	1.19037122307871e-13	9.82568428380377e-11	21.9161879437893	686.343850429955	1.90811935377585e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
NTN1	-5.88328936883994	2.64105697638357	-36.6614948841502	1.23712511349922e-13	9.82568428380377e-11	20.77072018647	94.1138746804392	1.90811935377585e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
GPR78	-5.01980784119669	4.34715833184757	-35.9489067732874	1.56057245535048e-13	1.17060273845234e-10	21.4701503393218	204.048455247417	2.27327652335194e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
TNFAIP2	-6.14500285780604	4.61551398525756	-35.1867614786258	2.01079673374008e-13	1.42893565783993e-10	21.2033145889377	413.660379075654	2.77495155072219e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PTEN	-2.37711825181051	6.51054171710596	-34.0001315402731	3.01658428500321e-13	2.03649605080567e-10	20.9970462869082	271.283716546445	3.95481619009039e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
FOSB	-5.22647696035266	5.12746702405261	-33.8520107603131	3.1763277813022e-13	2.04222750967344e-10	20.8937970914484	383.817480915255	3.965946516768e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
AIF1L	-2.30167009897578	7.61780873896176	-33.6307236206489	3.43229526859232e-13	2.10649321438788e-10	20.8685970235267	563.354838019383	4.09074864902438e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
KHK	-3.75374634710291	5.05669550685008	-33.2287465169416	3.95628472539098e-13	2.19916902521193e-10	20.7124981611759	186.196053767006	4.27072238230595e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
EIF2B2	-3.08340991101785	6.24915519650503	-33.1629215455833	4.05005803677971e-13	2.19916902521193e-10	20.7030295470163	313.307859881793	4.27072238230595e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
EEPD1	-4.42372983164705	4.00859478408002	-33.1478043110774	4.07193198269132e-13	2.19916902521193e-10	20.5690546365443	122.079126798779	4.27072238230595e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
RELT	-3.13269722974417	4.84428803995026	-32.7087230721074	4.76655787382857e-13	2.38363201527531e-10	20.5315935522485	120.574525556982	4.62894415213778e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
IQGAP2	-3.38753168096096	3.71764992894538	-32.7311400292005	4.72814519689601e-13	2.38363201527531e-10	20.4344773903696	62.4693067929225	4.62894415213778e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
AXIN2	-2.2814316533685	5.9020671308522	-31.805909638539	6.63323489167312e-13	2.92200834812417e-10	20.2056087551245	169.939017343312	5.67445535588887e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
CSF2RB	-3.7547408768884	3.90352364872391	-32.0160310037459	6.13718910635436e-13	2.92200834812417e-10	20.2031236242218	83.6818359092278	5.67445535588887e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
NFKB2	-2.88444756956162	5.88886127960367	-31.7078669779105	6.87940052276797e-13	2.92200834812417e-10	20.1717373708859	222.344130576526	5.67445535588887e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
VSIR	-4.03857241022482	6.44485233578892	-31.694827965496	6.91287729218372e-13	2.92200834812417e-10	20.1689515029692	558.896855657146	5.67445535588887e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PTGER3	-3.81884156169343	3.23583528663809	-31.690039325171	6.92521605243471e-13	2.92200834812417e-10	19.9613502001214	54.3559379507885	5.67445535588887e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
CLEC11A	-4.82982990115264	3.18834812633131	-31.4636026994902	7.53679670574017e-13	3.08369179154254e-10	19.7893549963532	83.6571620978965	5.98843990766228e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
PHLDA2	-4.991277641225	5.77234053886866	-31.2649195144145	8.12174274652715e-13	3.13687962647561e-10	20.0060160537899	547.361041862279	6.09172913850854e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
FNDC3A	-2.39118873204977	7.20899123695749	-31.1742706610095	8.40479669368842e-13	3.13687962647561e-10	19.9675446199438	442.839589095661	6.09172913850854e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ARHGAP42	-4.21384386686633	3.73855050116534	-31.1148577470311	8.59610029474134e-13	3.13687962647561e-10	19.8407014299043	93.2558118961504	6.09172913850854e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
LYPD5	-4.89753820186962	3.22793163753183	-31.1730252852387	8.40875903969153e-13	3.13687962647561e-10	19.6977415097868	88.952103637264	6.09172913850854e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
MMP15	-3.13448867770874	6.88425415772851	-30.815198101121	9.63561394879862e-13	3.32448311280789e-10	19.8305324452363	499.244550604578	6.45604966089343e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
ZFP36L2	-3.1195711479459	5.34262856458492	-30.6428868229074	1.02944131038798e-12	3.32448311280789e-10	19.7713544137498	169.217148463358	6.45604966089343e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
OTUD3	-2.99108950306867	4.74648171737964	-30.6252322367841	1.03646180498857e-12	3.32448311280789e-10	19.764116878277	105.463723429251	6.45604966089343e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
FANCA	-2.33400806761146	5.59182991098842	-30.55633859678	1.0643579409366e-12	3.32448311280789e-10	19.7309509572894	140.368027418677	6.45604966089343e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
GNE	-2.33300440432466	6.37701865580533	-30.5029290147048	1.08654371636745e-12	3.32448311280789e-10	19.7034653992689	242.308049209155	6.45604966089343e-11	1.17163055598747e-07	0.194197095964208	0.193156569397126	TRUE
