logFC	AveExpr	t	P.Value	adj.P.Val	B
CDH5	-5.75250053397554	5.57978208489068	-56.9703241176642	4.4529541880186e-17	9.51418191812053e-13	29.0856369620909
ADA	-4.9485298477373	4.41778999196064	-52.1103351156077	1.42449063578219e-16	1.26534999488468e-12	27.85914909279
SYDE1	-6.1228557507943	5.09796085169001	-51.2345640922923	1.77667789228402e-16	1.26534999488468e-12	27.7471588871688
FAM83G	-3.82412871401821	5.70678366073634	-46.9016185082006	5.61794777900211e-16	2.00055120410265e-12	27.0282150993765
MICALL2	-5.88188894810447	3.4996567769276	-48.166184182541	3.97273326321484e-16	2.00055120410265e-12	26.3894545033293
PTPRE	-3.95407473320108	4.32909835203505	-44.8782992351375	9.97501343653604e-16	3.0446591012147e-12	26.2869816131155
PRR9	-8.00593069970763	4.13036898993349	-47.3786147658246	4.9243289885098e-16	2.00055120410265e-12	26.13266603045
MRGPRX1	-4.37283384623234	4.86592441451923	-43.8940360691819	1.33122065969545e-15	3.55535757688161e-12	26.1067520023701
GPR78	-4.99709144012346	4.34521695647792	-42.7260692512316	1.89073475325208e-15	4.03974387379839e-12	25.6305062187938
ENGASE	-3.4964617923354	5.40038601412304	-41.4708759244027	2.78639592697337e-15	5.41219412506483e-12	25.5152185186547
TNFAIP2	-6.12529284366484	4.61357260988791	-41.1005056958908	3.1311039169193e-15	5.57493052407481e-12	25.1406282183078
ENDOU	-5.20217741673987	2.96112928314166	-42.7387963721203	1.88342397393345e-15	4.03974387379839e-12	24.9973628251358
CSNK2A2	-2.80218359446648	7.19197275217664	-38.8079972289773	6.60106754101541e-15	9.40256060542235e-12	24.7133037850002
TLE5	-3.11932278782267	7.34233607400034	-38.0339266969863	8.57538272452479e-15	1.13710453471692e-11	24.4546602952226
PHKG2	-2.74623473139459	5.81380011795506	-37.8772856989714	9.04744785649519e-15	1.13710453471692e-11	24.4013767290217
GNG12	-2.34879715309937	6.90382259847562	-37.41917903781	1.05958348186256e-14	1.19152950913028e-11	24.2508312762148
ADAMTS20	-5.76958708006464	3.52576021702335	-39.0021981398604	6.1866273117149e-15	9.40256060542235e-12	24.2329505960395
MFSD13A	-3.87209695794045	3.45419799679078	-37.6831657387162	9.6716073043887e-15	1.14801978703094e-11	24.0388936370308
NTN1	-5.86609282196889	2.63911560101392	-40.0498219240951	4.38413129676435e-15	7.20548840666671e-12	23.9790335986353
VSIR	-4.02083974805075	6.44291096041927	-36.2839912796691	1.58041072431682e-14	1.65968494365623e-11	23.8495945586835
FOSB	-5.20461189853478	5.12552564868296	-36.0659862816887	1.70893329403899e-14	1.65968494365623e-11	23.7134553347202
EEPD1	-4.40072923836679	4.00665340871037	-36.0771147704311	1.70210728932882e-14	1.65968494365623e-11	23.6180631339935
EIF2B2	-3.06529728676993	6.24721382113538	-34.821445252934	2.69469243708842e-14	2.30299194443325e-11	23.3237285283646
PHLDA2	-4.97585186245753	5.77039916349901	-34.5964803444422	2.93088829946877e-14	2.31930960764629e-11	23.2258480301677
CKMT1B	-5.28167784879117	3.35044256485755	-35.5381224038571	2.06910977591214e-14	1.92211302052777e-11	23.1979743668435
KHK	-3.73497793268032	5.05475413148043	-34.4821096426169	3.05942506782737e-14	2.32756044032402e-11	23.1808224835717
IQGAP2	-3.37038824523363	3.71570855357573	-34.6401765536211	2.88332392486409e-14	2.31930960764629e-11	23.1305358374457
LYPD5	-4.87472475897903	3.22599026216218	-35.1829113322072	2.3569985403499e-14	2.0983179505465e-11	23.0881128044461
CSF2RB	-3.73373124866203	3.90158227335427	-34.306990968105	3.2681275488964e-14	2.32756044032402e-11	23.0268385373497
PTGER3	-3.79783456580797	3.23389391126844	-34.3683677150537	3.1932878113888e-14	2.32756044032402e-11	22.9118071887676
PTEN	-2.35901157174044	6.50860034173631	-33.6884469223879	4.13701176713362e-14	2.45901232223552e-11	22.8950644053034
AIF1L	-2.28296781070563	7.61586736359211	-33.6736137145274	4.1606830473526e-14	2.45901232223552e-11	22.89023953926
NFKB2	-2.86437121031881	5.88691990423402	-33.613370543686	4.25832893020286e-14	2.45901232223552e-11	22.8672011875926
FIBCD1	-4.3246603097441	3.88143301714783	-33.66423364318	4.17572720717171e-14	2.45901232223552e-11	22.7666977814412
ANGPT4	-3.39622173654371	4.90365736367437	-33.1935734197474	5.01114586290395e-14	2.74705070312388e-11	22.6962183079075
RELT	-3.11307783191136	4.84234666458061	-33.1555872558826	5.08601187685943e-14	2.74705070312388e-11	22.6826083994342
ZFP36L2	-3.09812866136104	5.34068718921527	-33.1271501080413	5.14284508681809e-14	2.74705070312388e-11	22.6781230444198
CLEC11A	-4.80850662249974	3.18640675096166	-33.8943244829993	3.8230051812632e-14	2.45901232223552e-11	22.6562324140114
FANCA	-2.31493820424646	5.58988853561877	-32.9049588139204	5.61114707157621e-14	2.90196932259634e-11	22.5911723404837
OTUD3	-2.97040441824687	4.74454034200999	-32.7144411533243	6.04928534350005e-14	2.97410381315504e-11	22.5105590004151
AXIN2	-2.26244465864105	5.90012575548255	-32.6799467850671	6.13247597565281e-14	2.97410381315504e-11	22.5006420585265
FNDC3A	-2.37315023441072	7.20704986158785	-32.6264620218521	6.26390862079833e-14	2.97410381315504e-11	22.4791847003234
ARHGAP42	-4.19519787239264	3.73660912579569	-32.8630473485272	5.70451706211019e-14	2.90196932259634e-11	22.4577306644858
SMOX	-3.13743683246763	4.49358006331638	-32.3751522690433	6.92336129331656e-14	3.14733058282982e-11	22.3688955692102
ATOSA	-3.76693842602451	5.59463269587715	-32.0761780855193	7.80665557603092e-14	3.47493756328076e-11	22.262197411366
MMP15	-3.11617037633355	6.88231278235886	-31.9624760247508	8.1737618755826e-14	3.56409380068771e-11	22.2121282205468
ADM	-3.38358029895462	5.97535228480905	-31.8796384353526	8.45289187301895e-14	3.61208975517846e-11	22.1808082603621
SLC38A3	-5.70522911314129	4.81512506395311	-31.770882052578	8.83502632134707e-14	3.6954399415355e-11	22.0984059594386
TRIM55	-2.92840574715543	3.53970597282478	-31.7271568241844	8.99386300476674e-14	3.6954399415355e-11	22.0455431566598
GNE	-2.31459623649353	6.37507728043568	-31.3694542308442	1.04146710099007e-13	4.19848793957621e-11	21.9648019462327
OTUB2	-3.37106588640799	5.64686696217022	-31.2917326942535	1.0754242117116e-13	4.25509513100558e-11	21.9406241694407
WNK2	-3.20296504225511	6.22675963571258	-31.1669515265156	1.13245740933239e-13	4.28166915528091e-11	21.8843513619172
MAF	-5.49106844699569	2.55366458612224	-32.5452184694628	6.46938553388589e-14	3.00488894167404e-11	21.868518570692
TRIM9	-3.96688782364252	3.59674110806427	-31.2246894396169	1.10567314429177e-13	4.28166915528091e-11	21.825261206446
CAV1	-7.18397918416667	2.43918923309888	-33.6167360420794	4.25280941737882e-14	2.45901232223552e-11	21.7972349414015
SUSD2	-3.08229733131377	6.41278924391396	-30.7372871316119	1.35510665517422e-13	4.99193255076765e-11	21.7016348049137
SLC2A12	-3.96486441064734	5.04716900707279	-30.6220518247666	1.42252728528214e-13	5.13922125440826e-11	21.6628109319901
FAM43A	-3.58871203844682	6.43295741449646	-30.573207385665	1.45218545612428e-13	5.13922125440826e-11	21.634174210245
CYYR1	-4.5882990353357	2.90353916242489	-31.146187946464	1.1422593927315e-13	4.28166915528091e-11	21.6122639418366
GPT2	-2.92344441452975	6.55445984248731	-30.5104004286332	1.49130261992564e-13	5.13922125440826e-11	21.6035590130569
PIK3CB	-1.94789620822269	6.11408678768435	-30.4582306383243	1.52465652951164e-13	5.17076371580091e-11	21.5779379358098
SDC1	-4.74714309557511	8.26195389848475	-30.2900557096153	1.63775229730332e-13	5.38341778218195e-11	21.5195193325562
LMTK3	-2.98026046204012	5.44868766096837	-30.1431538508452	1.74393887515546e-13	5.56134298605544e-11	21.454117745698
TIPARP	-3.08984284276749	4.80353530687066	-30.0953369024586	1.78008152525158e-13	5.57792243156619e-11	21.4394903113643
CLEC1A	-3.58264630755896	4.34668838432365	-30.0676827999206	1.80135096779026e-13	5.57792243156619e-11	21.4199449276009
IL36RN	-2.60392533433	4.1300984920709	-29.6960236163461	2.11532545199829e-13	6.27722827880492e-11	21.2628240184221
BCAR4	-2.99086506593801	4.47293536307575	-29.5852571122442	2.2199232018088e-13	6.49738070271873e-11	21.2187515897083
IGSF8	-2.3505457543399	4.55460167539298	-29.4229284482986	2.38338546363607e-13	6.78978850880645e-11	21.147812939668
ADAMTS3	-3.07769970414229	4.27431065235407	-29.2833790672875	2.53427182610087e-13	7.12463839953568e-11	21.0847693239384
SORBS1	-4.32630301569516	3.39692922050667	-29.4831533636683	2.32127786188487e-13	6.70221929689623e-11	21.0812499681897
GPR32	-5.92333498036703	2.28080336599094	-30.5338304367257	1.47657912021146e-13	5.13922125440826e-11	20.9774401215694
SLC39A10	-2.23464916826877	6.62593590885093	-28.8839338049239	3.02586500835012e-13	8.39618594394917e-11	20.880057031878
TWIST2	-6.18758063945666	2.24351231871423	-30.3523623624234	1.59483344497033e-13	5.32425177894313e-11	20.8465690006255
SERPINE1	-2.8107631716674	7.59177573242659	-28.6540682172695	3.35450313267176e-13	9.07244480160313e-11	20.7834957779962
UAP1	-2.0549194912122	5.96521904708688	-28.5281602642156	3.55061490070309e-13	9.48280474605278e-11	20.718625302191
SESTD1	-2.90385088049958	6.12086686103352	-28.4526783285126	3.67406809562935e-13	9.69137517669341e-11	20.6884720547455
FSD1	-2.11434909794268	4.45972124545814	-28.3072731395777	3.92508749937107e-13	1.02272462818979e-10	20.6480365739565
BGN	-10.0165334296776	2.05756636275891	-33.7740250042925	4.00324172947535e-14	2.45901232223552e-11	20.5223178696532
