logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
GABRE	1.53916426617799	5.26301909807212	35.895078617246	6.90580223392673e-15	5.09097476188155e-11	24.3615935235172	66.2508159344559	8.77292727034172e-12	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
TP53I11	-1.70220508475751	4.42072035563469	-35.589883590374	7.74882003330525e-15	5.09097476188155e-11	24.1679073007221	39.5129401453227	8.77292727034172e-12	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
LTBP3	-1.55139135881345	5.03757642919429	-34.0074019216801	1.43066017561513e-14	6.26629156919426e-11	23.7328636325428	56.7935185774244	1.07982700293292e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
DEPDC1B	-2.06106311864731	6.02587904120086	-33.1790705338429	1.99436167143313e-14	6.55147809065782e-11	23.4799169426063	135.79387803307	1.1289712381394e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
IGFBP4	1.61907412737541	6.41356026916023	32.3988619011835	2.74754947502346e-14	7.22056002036164e-11	23.1800630978325	150.412621925924	1.24426953329382e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CXXC5	-1.41410273644791	4.19436720038007	-29.2187878769799	1.10170519502882e-13	1.81131803311517e-10	21.7367649875457	31.2815066031577	3.12132000475777e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ADA	-1.84879341273473	4.75899642101049	-28.9613860029899	1.24062878980491e-13	1.81131803311517e-10	21.6831091696433	53.8419455368611	3.12132000475777e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
FILIP1L	2.29650087009561	3.79403398723266	29.8079273651213	8.42672031150405e-14	1.81131803311517e-10	21.6651322805918	31.1379073051529	3.12132000475777e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ADRA2B	-2.72768282398209	3.84547697767759	-29.2113169668524	1.10549337546981e-13	1.81131803311517e-10	21.5950283054215	40.5692550681086	3.12132000475777e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
B4GALT6	1.27270700945402	4.14192357634806	28.4723678292334	1.55906647396273e-13	2.00961443878262e-10	21.3199209696702	27.6149789024073	3.46303058598403e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
C1GALT1	-1.28396250647725	6.84504750073439	-28.0071781267288	1.94445277490345e-13	2.00961443878262e-10	21.3027565326101	179.042602114374	3.46303058598403e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
AADAT	-1.11163219341406	6.93197389184787	-27.9607295904735	1.98820302162664e-13	2.00961443878262e-10	21.2813233187279	179.209759274565	3.46303058598403e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
DLL1	1.69964005249999	3.87216814329604	28.1473436540163	1.81857244094704e-13	2.00961443878262e-10	21.0792829137282	26.5674773763578	3.46303058598403e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CROT	1.02614973811059	6.6091205943001	27.3501820480061	2.67267289648972e-13	2.50849441856249e-10	20.9901937129058	139.374059051941	4.322716202972e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SLC16A13	1.44002596746447	3.84675394313466	27.1372047633947	2.96768982761872e-13	2.599696288994e-10	20.6579744694686	23.7488176524251	4.47987812453671e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ZNF845	-1.29438032456675	5.7315301752229	-26.8809127943113	3.36975692043143e-13	2.72880404636186e-10	20.7581994030138	83.5704034296429	4.70236065851151e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SLC11A2	0.80468273981326	6.12048755852409	26.7875506070826	3.53041619392326e-13	2.72880404636186e-10	20.7145955407343	92.1202025887433	4.70236065851151e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
ARL6IP5	-1.04106075818045	6.80510760142591	-26.0862035050504	5.03485269110697e-13	3.67544246450809e-10	20.3654094281746	160.17877556694	6.33363765007901e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
FAM20A	1.63410494495282	4.96088116034309	25.820352486064	5.77389366235237e-13	3.99310330122685e-10	20.1936942771801	55.2137201279518	6.88104075999731e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
GPT2	-1.69441199711817	6.45309008895335	-25.119594440499	8.33925657599662e-13	5.08627420292511e-10	19.8634806956166	158.704161040064	8.76482711982367e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
DDHD1	1.16050326558891	4.7870921666823	25.0802102787795	8.51583199880916e-13	5.08627420292511e-10	19.8121075210715	41.5370340562994	8.76482711982367e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SLC4A11	1.65944991263375	3.32374501315362	25.1130696955024	8.36823634170797e-13	5.08627420292511e-10	19.5281284993993	17.9770417915342	8.76482711982367e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
PSAT1	-1.27192757272154	6.33612927054934	-24.9199252842122	9.27690693821499e-13	5.29993726818022e-10	19.7574118067828	125.978550757089	9.13301801047122e-11	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CYP1B1	1.23393900838231	7.20296750459091	24.6165446518519	1.09244893279544e-12	5.90429657851085e-10	19.5944144681934	226.424659845273	1.01744689157837e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ANXA5	-0.926584132252435	9.39919712294349	-24.5651454110297	1.12334409789019e-12	5.90429657851085e-10	19.5556979905415	929.820728296891	1.01744689157837e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
NYNRIN	1.74680242374306	5.56811691782141	24.2509837237899	1.33374779442244e-12	6.74055616104263e-10	19.392300329649	87.5209278720798	1.16155376383413e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
MAPK8IP1	-1.48703242680452	4.29664114734761	-24.1404059505754	1.41754797245452e-12	6.89873346594534e-10	19.3101500146952	33.8484164662502	1.18881137277221e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ACP3	1.16038859771418	7.64113610137726	24.0214320193553	1.5140532047841e-12	7.00960301497396e-10	19.2687991918204	299.71487854236	1.20791676094672e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
NRP2	1.09695262363893	6.62619212543188	23.9359864745054	1.58769644913756e-12	7.00960301497396e-10	19.2203362777231	144.973334864453	1.20791676094672e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
IRX4	-0.976763582902837	6.28223958051051	-23.8882030925349	1.6305457543591e-12	7.00960301497396e-10	19.1928756233211	111.17155904078	1.20791676094672e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
FBN3	1.5250355469289	4.25828752129094	23.8629271198688	1.65371151799234e-12	7.00960301497396e-10	19.1197950455439	32.7579318386984	1.20791676094672e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
NLGN4X	1.57491893765314	4.29048893480215	23.7678440311683	1.74406673963551e-12	7.1615740496283e-10	19.0729414267523	34.0908166435303	1.23410488594399e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CD24	1.07314774653495	9.7788259014924	23.6482852348926	1.86525963126294e-12	7.42712471357425e-10	19.0551849877036	1278.03768066548	1.27986540864059e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
TMEM30B	0.766764432668688	6.65538773127104	23.5627317878706	1.95750883538393e-12	7.56519591086611e-10	19.0095702324753	131.763509147543	1.30365827009887e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
BOC	1.39139170605611	4.114417101615	23.4938196873825	2.03536936218001e-12	7.64135811972723e-10	18.9146695681581	28.154108195606	1.31678278063642e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
TNFRSF10C	1.21486770143941	4.46563667217664	23.4340365614297	2.10560641142034e-12	7.68546340168423e-10	18.9133764762519	33.8308140218816	1.32438314105745e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
NAALAD2	0.962446265224658	5.6758089241359	23.2920749215618	2.283015667811e-12	8.10779077703689e-10	18.8591246925562	71.7290523727678	1.39715991803117e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
TSPAN15	1.06614381855857	6.56258104336406	23.1163747176792	2.52507326518037e-12	8.7314375538079e-10	18.7543832448782	136.762973178872	1.50462868522995e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CMPK2	-1.71205485849973	5.09311353377155	-22.8113305117238	3.01311763333479e-12	1.01518886415434e-09	18.5832378271502	61.8337553302792	1.74940526862781e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
CCNQ	-1.01642923437087	4.29530026140427	-22.7582577985672	3.10790490706548e-12	1.02094676197101e-09	18.543393079799	28.2537866149927	1.75932745860879e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
BYSL	-1.02291742420294	5.12301478811217	-22.655337959786	3.3009486802263e-12	1.04779046312268e-09	18.4918359069934	49.7834840702297	1.80558536576514e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
UBE2A	-1.21182177689659	6.98586578789312	-22.6154209454499	3.37924411114839e-12	1.04779046312268e-09	18.4609238012939	193.865812311623	1.80558536576514e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
PPP3R1	-1.12386345645741	6.42699945283988	-22.5906438912079	3.42884245922948e-12	1.04779046312268e-09	18.444697633567	127.027213928778	1.80558536576514e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
RRM2	-1.51125119011451	8.34839227807811	-22.4435295340807	3.73986999169996e-12	1.11250136126096e-09	18.3663080686338	549.942210154138	1.91709721359754e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SPCS3	-0.778155358148428	8.35492083954299	-22.4121987377306	3.80993616870191e-12	1.11250136126096e-09	18.3477015608575	428.691786354161	1.91709721359754e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
SAMD4A	0.850410961769472	4.81069694132558	22.3024886781416	4.06658638811026e-12	1.16162924216889e-09	18.2834863331102	37.7554196067534	2.00175591773773e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
RRM2B	0.860818165340564	5.61126417890193	22.2014737386691	4.31932281543733e-12	1.20468520559509e-09	18.2197581283942	65.9895817118352	2.07595130336816e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
CMAS	-0.940039920614557	6.06513006809319	-22.1703003809677	4.40067655011906e-12	1.20468520559509e-09	18.1935677522604	93.0038893956492	2.07595130336816e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
UAP1	-1.33591458727114	6.23571355573713	-22.0932373128395	4.60892022383745e-12	1.23594309675968e-09	18.1470448721914	119.984316348796	2.12981588110372e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
LONRF1	-1.17960295401429	5.28833613785522	-22.0318252470162	4.78242897992798e-12	1.25682233592507e-09	18.118925835966	58.8902537226862	2.16579564042793e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SGCE	0.763478825581521	5.34998222316407	21.9657328745279	4.97700997241967e-12	1.2823119811293e-09	18.0802454647222	53.2934207486386	2.20972019593699e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
PRR5	-0.994997730357401	7.65479349805996	-21.93201117161	5.07954232075507e-12	1.28356127105234e-09	18.0544606620096	290.059695833142	2.21187301148745e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
RASSF7	-1.03406300687393	6.05545636629163	-21.8557845268854	5.31974835017695e-12	1.31889610040236e-09	18.0014947339817	96.3352573723683	2.27276309688302e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
GAL	-2.02089933691067	3.92884055988314	-21.766010225788	5.61835603558411e-12	1.36417503331558e-09	17.9401371594054	31.5318146324472	2.35078917320549e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
TNKS1BP1	0.866114138589791	6.62121083626359	21.739475520649	5.71001726273644e-12	1.36417503331558e-09	17.9292324572053	133.055780887699	2.35078917320549e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
TRIM34	-1.18112405667335	3.54039905872378	-21.7076139085373	5.82220181427559e-12	1.36613806856395e-09	17.8735686404604	17.5430733205339	2.35417193707068e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
STX10	-1.13470906037885	4.92242322928116	-21.5863206776027	6.27137247949338e-12	1.36725519668572e-09	17.8516539506973	44.8954142094328	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
RSL1D1	-0.85049174920899	7.27472961430571	-21.5811936100414	6.29115891523269e-12	1.36725519668572e-09	17.8327783472378	207.588483926591	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
TRABD2A	-1.03620145215172	4.50716079737591	-21.5292010656418	6.49563000741292e-12	1.36725519668572e-09	17.8176277652795	32.5235395841124	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ASNS	-0.874879481514164	5.48822651473073	-21.5089092152863	6.57735348810918e-12	1.36725519668572e-09	17.7946150117342	60.7766819843659	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
OLFML3	0.850376450479275	5.99430189290378	21.508642093218	6.57843661476151e-12	1.36725519668572e-09	17.7905644583758	86.024558258785	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	FALSE
BAIAP2	-1.12826815548596	6.98303790159726	-21.4888104835539	6.65938604169605e-12	1.36725519668572e-09	17.7747324688801	188.781320078865	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
LRP11	1.95506565507736	2.90021586140593	21.6207686392309	6.14014727354046e-12	1.36725519668572e-09	17.5866177054293	14.8259621126653	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
SGPP2	-2.54529370616152	1.46226225929434	-21.6642490820386	5.97869901219012e-12	1.36725519668572e-09	16.9239776588376	6.87901175218999	2.356097007263e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ZBTB7B	-1.20696168242173	6.84177765342242	-21.426900179314	6.91903481117099e-12	1.39870949875057e-09	17.7356153584135	176.589459367354	2.41030004641778e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
ARHGEF2	-1.11283328093617	6.15473296580193	-21.2906414104675	7.52949759237098e-12	1.49905452066295e-09	17.6493472850501	104.656319122543	2.58321773317779e-10	7.65638619178822e-08	0.172323134186966	0.191324200913242	TRUE
