logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
HEG1	-3.46134419209107	5.5563114834417	-30.8410226242217	1.91305347246541e-14	1.51322766710127e-10	23.396143627935	156.48520680911	2.65286211614506e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
CSF2RB	-3.72903276426383	4.90019059808411	-30.4465368992156	2.29207462450964e-14	1.51322766710127e-10	23.0632147223419	108.219980084311	2.65286211614506e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
PTGES	-2.81393884322608	6.03237898185891	-29.0052719865569	4.52567283777273e-14	1.54194386958395e-10	22.6651663303192	172.29585834422	2.70320492135678e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
OTUD3	-2.52108839504215	5.23483410068031	-28.939882597743	4.6711416830777e-14	1.54194386958395e-10	22.5839952438722	89.6980575490323	2.70320492135678e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
SLC26A2	-2.02047999811618	4.67884866710523	-27.69599115906	8.64332338156208e-14	2.04917498083247e-10	21.9506369960617	51.4792289341683	3.59243938912132e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
EPB41L4B	1.2356983090422	7.36879634041857	27.0294827958114	1.21533502842242e-13	2.04917498083247e-10	21.7365323881757	253.802979190716	3.59243938912132e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
LAP3	-1.52095156597261	6.67224201731271	-27.0294950280784	1.21532733655634e-13	2.04917498083247e-10	21.735625406222	172.444325716555	3.59243938912132e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
MYO5A	-2.57801090421165	5.20231149376496	-26.9453596856996	1.26948447364002e-13	2.04917498083247e-10	21.6297532358386	89.9082263749979	3.59243938912132e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
EXOC6B	-1.27625975283437	6.29685563712647	-26.7618831238122	1.39674150465709e-13	2.04917498083247e-10	21.5978463872991	122.099043586599	3.59243938912132e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
JAM3	-1.15840148521603	6.82239404169308	-26.4587512116893	1.63781881343612e-13	2.16257596126106e-10	21.442869859026	168.605683239044	3.79124434851582e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
PID1	-2.04873865727769	5.99746978118707	-25.3460291691154	2.98402152770248e-13	3.58191093198033e-10	20.8432599930528	129.721659749217	6.27950177058226e-11	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
DUBR	-2.55274643551795	3.34646610400265	-23.2502374599889	9.92534228770502e-13	1.09211849639048e-09	19.3151003833846	24.5163500011506	1.91460931385529e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
LMNB1	1.53179992476999	7.59476745805422	22.0909908151533	2.01859978457865e-12	2.05027627350588e-09	18.9342074935312	329.627537878135	3.59437008182249e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
PEG10	1.64358814625387	11.3094614702709	21.7469221649374	2.5090614427585e-12	2.20864315267888e-09	18.7266446278784	4491.81230535504	3.8720054326319e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
MAPT	-3.0900641432154	2.1060851290757	-21.8350620410316	2.37235289896438e-12	2.20864315267888e-09	17.660134400511	12.5473203515908	3.8720054326319e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
CCNDBP1	-0.982160481282008	6.81753994984905	-21.4885816057378	2.96053189222761e-12	2.21308299030869e-09	18.5450453697848	158.063733583255	3.87978897856224e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	FALSE
SORBS1	-4.3453127720383	4.82933300465576	-21.5536103457452	2.83926031443821e-12	2.21308299030869e-09	18.5363976090658	128.02136383454	3.87978897856224e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
MERTK	1.49597529635181	4.28327833321709	21.4593044943215	3.01692622126298e-12	2.21308299030869e-09	18.4843957385875	32.6723477383661	3.87978897856224e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
AIF1L	-1.98067709649458	8.06041555091639	-21.3226776543785	3.29570170961666e-12	2.26455977338841e-09	18.442750402052	529.557796276115	3.97003369894514e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
QSOX1	-1.90702797115752	8.86659637807421	-21.2611524374164	3.43011174399941e-12	2.26455977338841e-09	18.4063499856033	903.680773659686	3.97003369894514e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
SCUBE3	2.15969427953956	5.70151783588491	21.0922483667733	3.83011622355487e-12	2.40823117218184e-09	18.3058599081272	110.551389046429	4.22190618272199e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
IGF2BP3	-1.23534582325418	7.97368061099861	-20.9512064800675	4.20233974080506e-12	2.52216790625409e-09	18.1953853187834	385.189227048116	4.42165037986358e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
GPR78	-3.35472791765188	5.56611865151279	-20.859039639501	4.46632764216313e-12	2.56406044291835e-09	18.1529378818409	149.080430902855	4.49509281412644e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
SOX11	2.08837589731197	4.94475253866049	20.5518147503381	5.48214034557159e-12	3.01609088012197e-09	17.9403096908736	63.485701243108	5.28755415241212e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
ARHGAP42	-4.06624778751595	5.21234797875524	-20.2421865299121	6.75956598360237e-12	3.49153736217076e-09	17.7331992572237	149.55273315732	6.12106651007196e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
CTSL	-1.93132380197933	8.16417538219559	-20.2173083668055	6.87518717179944e-12	3.49153736217076e-09	17.6983171802611	560.294536867929	6.12106651007196e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
LEPROT	-0.863319727074558	7.47083552717402	-19.9653999605141	8.17239390418205e-12	3.96665433097625e-09	17.515316494471	238.64958450596	6.95400119312347e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	FALSE
SERPINE1	-2.70715263984324	8.34847288693751	-19.8878463413021	8.62258584104494e-12	3.96665433097625e-09	17.4707803227911	831.936905162652	6.95400119312347e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
TIGD2	-1.39008267218514	5.92784397119546	-19.8729618401148	8.71197936976002e-12	3.96665433097625e-09	17.4597683105434	98.3634064173343	6.95400119312347e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
SLCO4A1	-3.42212194764513	5.40018816997696	-19.7103266744006	9.75585345275181e-12	4.24692595407379e-09	17.3746299495843	139.414915537116	7.44534957863788e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
PSD4	-0.952723553123383	6.54781976755657	-19.6791475448644	9.97081979523534e-12	4.24692595407379e-09	17.3109349327797	129.718336336672	7.44534957863788e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	FALSE
CASD1	1.26672076852366	5.38433742761003	19.5558968339006	1.08714083512435e-11	4.48581487093185e-09	17.258810217096	64.6994358864537	7.86414932125272e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
ADCK2	-1.17577393841421	6.24607586476544	-19.495533300356	1.134382244429e-11	4.53890398649714e-09	17.183621519666	113.856519447225	7.95722064589522e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
COL21A1	-1.72152799450762	5.38928711107511	-19.171038541974	1.42886190804231e-11	5.51702363579843e-09	16.9754656667959	76.1847914597742	9.67197687134749e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	TRUE
CDC14B	0.956319592686191	6.60107791953664	19.1386937977852	1.4624040234243e-11	5.51702363579843e-09	16.9224067796778	135.279534124431	9.67197687134749e-10	1.14376393975665e-07	0.17531149963884	0.188124810663435	FALSE
