logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
CGA	-4.71209704029324	11.2970839072079	-144.787810530115	2.20713358330085e-33	2.99199028552264e-29	66.698334626996	12557.6011993373	1.8447445963496e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
ERVV-1	-3.30023637528626	9.89930335284095	-132.797445789265	1.38951439018581e-32	7.69292188750232e-29	64.9022023798394	2918.6257243647	4.74315580193486e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
MAN1A2	-2.99359343350347	9.16164802621689	-131.535930919853	1.70247607424808e-32	7.69292188750232e-29	64.6960774061066	1573.0326493735	4.74315580193486e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
ERVW-1	-3.4394859512878	9.45736069318804	-127.495029301365	3.30714835907621e-32	1.05504229336194e-28	64.0487095250347	2255.59301244793	6.50497957502477e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
SUSD2	-4.33258153397618	6.77974996736543	-126.523997715346	3.89142185512667e-32	1.05504229336194e-28	63.6860182663772	480.402946353398	6.50497957502477e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
MAFK	-3.34570673862136	7.61675544495021	-122.884586088988	7.24137465565828e-32	1.564679240848e-28	63.2357586973108	609.239043984687	9.6472023607207e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
PGF	-3.9735871066204	9.62596828242665	-122.253600696685	8.07963609172028e-32	1.564679240848e-28	63.1708131333535	3049.22467288233	9.6472023607207e-30	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
TENT5A	-2.55911721340365	9.51447060332997	-120.997280815504	1.00656267743752e-31	1.70562045691788e-28	62.9558144072245	1727.830004158	1.0516190966753e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
NECTIN3	-3.02995496891081	8.79764148905365	-119.433606950079	1.32748985277752e-31	1.92617194987921e-28	62.6761509820509	1238.12304474365	1.18760255117578e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
FHDC1	-2.72678673255719	9.02402619580303	-119.052486711626	1.42089993351963e-31	1.92617194987921e-28	62.6118826302639	1303.59968153665	1.18760255117578e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
TNFRSF1B	-4.47227176277391	9.6775754848314	-116.232205002837	2.36633902752832e-31	2.81449932004663e-28	62.1080968656873	3755.89999486616	1.73531058479981e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
DEPP1	-3.20948888762925	7.99254168475461	-115.752558284783	2.58393978409385e-31	2.81449932004663e-28	62.0060022130376	754.112233668413	1.73531058479981e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
ZNF703	-3.2571547573516	8.40782074354186	-115.515627923675	2.69906249340559e-31	2.81449932004663e-28	61.9696923951549	1022.89681096067	1.73531058479981e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
SMAD7	-3.44249169912996	7.66055767055122	-114.253053023917	3.40995774197945e-31	3.0816924766849e-28	61.7212750245306	649.684953584933	1.90005147125089e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
SDC3	-2.78726408984073	6.82686912177624	-114.282614323745	3.39124307419231e-31	3.0816924766849e-28	61.697341621647	290.30061890236	1.90005147125089e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
PPM1B	-2.56859250036041	8.45727068343547	-113.452420416811	3.96019823322505e-31	3.31318635572464e-28	61.5936229121192	833.240031544377	2.0427815745246e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
SDC1	-4.33999487980928	9.5320006362063	-113.196708022243	4.15492535020056e-31	3.31318635572464e-28	61.5491483676981	3244.92847685443	2.0427815745246e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
EIF2B2	-3.0224684484201	6.83758823953325	-111.941318260542	5.26734053351868e-31	3.6999750213693e-28	61.2639447224456	317.337072899199	2.2812603905588e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
RAB11FIP5	-2.59393260878027	7.64863990784357	-111.706055186445	5.50842199757433e-31	3.6999750213693e-28	61.2566050326801	480.00857307243	2.2812603905588e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
NCOA4	-2.81084881634643	9.40545213973458	-111.253972893528	6.00468061892333e-31	3.6999750213693e-28	61.184109558121	1749.16053477308	2.2812603905588e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
FAM83G	-3.33186511629849	6.62292252376473	-111.438034977065	5.79720900500222e-31	3.6999750213693e-28	61.1431847425073	304.492388655611	2.2812603905588e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
PRR9	-4.71074516365277	6.73907468572608	-111.639473127592	5.57872766034211e-31	3.6999750213693e-28	61.1208432661695	532.596732610004	2.2812603905588e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
MAGI1	-2.79582386828261	7.76696965373109	-109.4627228522	8.48070920433378e-31	4.9984562597369e-28	60.8311312287687	558.544672603979	3.08185331344709e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
FURIN	-2.55171258242746	10.5922332218264	-108.295510270607	1.06526848252356e-30	6.01699147878725e-28	60.6128472120606	3639.18462412931	3.70984243180303e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
CDH5	-4.40853185508507	7.38989111786935	-106.976077560839	1.38257686888267e-30	7.49688481382937e-28	60.318061176363	752.016410604497	4.62228698291087e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
AFF1	-2.94622866850112	8.80210663734896	-105.814507943409	1.74393353125716e-30	7.8554814394214e-28	60.1198743599252	1206.54566480543	4.84338368584169e-29	3.70205155288178e-09	0.0616561024705118	0.068161699616406	TRUE
