logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
SERPINI1	-2.02989031424465	2.72117435410139	-14.42279735725	1.16217120037032e-07	0.00172059446214826	7.63144915958783	16.7790265232442	0.00102702661522806	0.00161048996964211	0.596902197363673	0.654103343465046	TRUE
RSPO3	-4.02477383276228	3.9072241395463	-13.2266317000039	2.50635591714046e-07	0.00185532996766322	7.28034713552125	101.890687675171	0.00110745053453285	0.00260766818950005	0.596902197363673	0.654103343465046	TRUE
PDGFD	-1.6097053651182	5.36961966560488	-10.2578353022018	2.30179088820854e-06	0.00630021898151158	5.45591733306128	87.7852945019757	0.00376061455393658	0.00688279903743385	0.596902197363673	0.654103343465046	TRUE
SEMA5B	-1.9581202722485	2.93465767828729	-10.2942899236223	2.23273279302259e-06	0.00630021898151158	5.32867229308836	19.1092891381063	0.00376061455393658	0.00678927063692811	0.596902197363673	0.654103343465046	TRUE
TBX2	-3.43615584755438	3.19421681568418	-10.1345655117267	2.55328023566832e-06	0.00630021898151158	5.22829013373988	46.3681429719486	0.00376061455393658	0.00721777749792263	0.596902197363673	0.654103343465046	TRUE
PRDM6	-2.10071432633875	1.29549531395971	-10.3009377565833	2.22038668887052e-06	0.00630021898151158	4.71799611488476	6.40774874781039	0.00376061455393658	0.00677247748010366	0.596902197363673	0.654103343465046	TRUE
GPR37	-2.1903059394661	2.60144116045548	-9.47933285141097	4.51375662986451e-06	0.00907430362580708	4.65075419927861	17.2045953063255	0.00541647177378939	0.00950182627401579	0.596902197363673	0.654103343465046	TRUE
HAS2	-2.00825748592227	2.27602505516498	-9.25725432976455	5.51629399745111e-06	0.00907430362580708	4.40536664066535	12.4322200721969	0.00541647177378939	0.010442902577048	0.596902197363673	0.654103343465046	TRUE
GRIK1	-3.16933903767922	-0.836459077891004	-9.2902664256619	5.35291153474164e-06	0.00907430362580708	2.6699052593007	2.48336490384125	0.00541647177378939	0.010299195570332	0.596902197363673	0.654103343465046	TRUE
KCNIP4	-3.62237255167853	1.14621984028	-8.58035117513083	1.04265232626879e-05	0.0154364676904094	3.50955465653171	12.1814390973971	0.00921406148393869	0.0134838847636681	0.596902197363673	0.654103343465046	TRUE
TSPAN7	-2.27234561265065	2.13616185023876	-8.34037710942851	1.31939292669329e-05	0.0162780102330785	3.62270467697605	13.0094361272753	0.00971638007683289	0.0145356400754915	0.596902197363673	0.654103343465046	TRUE
ENSG00000285543	-2.23314908269445	-1.18647335668309	-8.34381567939496	1.31490055052218e-05	0.0162780102330785	1.9060865849675	1.23018138634212	0.00971638007683289	0.014520697762617	0.596902197363673	0.654103343465046	TRUE
TFPI2	-2.14934184398991	2.09180989793905	-8.13269562019445	1.62457280440003e-05	0.0185013848993403	3.43073490196714	12.1153685006983	0.0110435173006873	0.0154361523568952	0.596902197363673	0.654103343465046	TRUE
HMCES	0.7677047021582	6.18162778153686	7.89751653935544	2.06662115297951e-05	0.0218545186927584	3.26285548611286	86.9595558039102	0.0130450102300329	0.0164785219564141	0.596902197363673	0.654103343465046	FALSE
ZIC3	-4.78571955940799	-2.82174526192171	-7.7877197282945	2.31674901440984e-05	0.0228663127722251	0.832404313212212	1.29796114360884	0.0136489523393462	0.0169882352378414	0.596902197363673	0.654103343465046	TRUE
CCL21	-2.95669364837524	2.75710781998865	-7.66977003247262	2.62287563039733e-05	0.023235634799811	3.06489832338512	27.5853969799595	0.013869401469147	0.0175618004800902	0.596902197363673	0.654103343465046	TRUE
HOMER2	-0.95168526620474	3.96660892819526	-7.59986315226254	2.82500119146639e-05	0.023235634799811	2.99614249723879	24.2442899115211	0.013869401469147	0.0179176247719328	0.596902197363673	0.654103343465046	FALSE
MOXD1	-2.37161331156137	1.32680968431181	-7.61709200011888	2.77365268320229e-05	0.023235634799811	2.79786988714907	7.94210743833252	0.013869401469147	0.0178287083167145	0.596902197363673	0.654103343465046	TRUE
EXOG	1.25330067704705	4.70866613212665	7.39830292220096	3.50942984217538e-05	0.0264239298247503	2.78002864044797	34.938526401263	0.0157725017753769	0.0190261974328075	0.596902197363673	0.654103343465046	TRUE
C1QTNF1	-1.87299576040866	3.23305364628413	-7.32360583177124	3.80746971055839e-05	0.0264239298247503	2.71949928488583	22.9947563757515	0.0157725017753769	0.0194728857474073	0.596902197363673	0.654103343465046	TRUE
COL5A2	1.25120893350287	10.932337984538	7.36345439871118	3.64517851577757e-05	0.0264239298247503	2.68216146228735	2627.65421154539	0.0157725017753769	0.0192319750077064	0.596902197363673	0.654103343465046	TRUE
TBR1	-6.05251102974664	-1.10887590316787	-7.29552770810085	3.92655492161099e-05	0.0264239298247503	1.17733776373174	8.22260524790856	0.0157725017753769	0.0196463544601453	0.596902197363673	0.654103343465046	TRUE
C3orf52	1.02351547477968	4.75249489259689	7.25181220084929	4.12013165528659e-05	0.0265211083289208	2.61176158744317	34.3947999627739	0.0158305078380528	0.0199227763228261	0.596902197363673	0.654103343465046	TRUE
DDX60	-0.78658727609554	3.18432788146104	-7.16944475684662	4.51377594003701e-05	0.0278443553301033	2.55549058768619	13.0573182752733	0.0166203568807136	0.0204656511237161	0.596902197363673	0.654103343465046	FALSE
PACSIN1	-1.13025303358187	3.44908131800018	-7.0665563957068	5.06416418280585e-05	0.0281559555343691	2.43686122235689	18.6328380620448	0.0168063517273388	0.0211869679185097	0.596902197363673	0.654103343465046	TRUE
KLF13	-0.598881197835095	6.45944426404917	-7.1045260362154	4.85296455638242e-05	0.0281559555343691	2.41310493125299	116.297643234725	0.0168063517273388	0.0209150261462002	0.596902197363673	0.654103343465046	FALSE
H2AZ1	0.599258398591763	7.02499956305256	7.05423721370685	5.13482471751412e-05	0.0281559555343691	2.36241697065863	149.898461675171	0.0168063517273388	0.0212766604608449	0.596902197363673	0.654103343465046	FALSE
VWC2	-1.84992052293215	3.61506345533474	-7.01750251731739	5.35198780680457e-05	0.0282986355284791	2.37484857465902	29.2602712063933	0.0168915177293429	0.0215484058094459	0.596902197363673	0.654103343465046	TRUE
NEFL	-2.13601957741314	2.95666255120083	-6.88715462919727	6.20718665673861e-05	0.0305358684695645	2.24772454414321	21.4142312299134	0.0182269269878912	0.0225656220039325	0.596902197363673	0.654103343465046	TRUE
