logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
PCDHA6	-5.14900457077574	0.550975861727437	-15.1607495637818	6.94270401487003e-08	0.00101432905657251	5.47704592111717	16.2163035666101	0.000718589725443441	0.00201501222433242	0.708438470521199	0.742368240930869	TRUE
TMEM47	-1.1259410815228	5.45136521361236	-11.1485227189429	1.06307771337875e-06	0.00771593634176633	6.18391481838782	74.0894523619336	0.00546626614059987	0.006524399132812	0.708438470521199	0.742368240930869	TRUE
GRIK1	-4.04115663714432	-0.560228772021392	-10.6491506415434	1.58438117900746e-06	0.00771593634176633	3.21049846855886	4.53316945010954	0.00546626614059987	0.00735117008270076	0.708438470521199	0.742368240930869	TRUE
COL9A1	1.28250521472409	8.29853933333523	10.1942845993013	2.31163416822796e-06	0.00841984550556436	5.35496139276648	426.527238660814	0.00596494247198681	0.00834713135098679	0.708438470521199	0.742368240930869	TRUE
RSPO3	-4.11512460033418	3.92402385411367	-9.93666497211136	2.88153508061751e-06	0.00841984550556436	5.12299107239897	114.30895759558	0.00596494247198681	0.00899367078332299	0.708438470521199	0.742368240930869	TRUE
ATP1B4	2.36914655395093	5.73645571024208	9.3602788537916	4.80330214579533e-06	0.0115385005086438	4.72309764998793	92.9634427516822	0.00817431765245172	0.0105595580860529	0.708438470521199	0.742368240930869	TRUE
NEB	2.58385598720531	5.924585403066	9.20665777454621	5.52837122248507e-06	0.0115385005086438	4.58780969381727	112.17820370172	0.00817431765245172	0.0109892022392789	0.708438470521199	0.742368240930869	TRUE
TUB	1.30330538002408	5.95822975924784	8.60891180833856	9.73578672318184e-06	0.0167250263573848	4.03582430109076	84.5907928917238	0.0118486520920524	0.0127317593590127	0.708438470521199	0.742368240930869	TRUE
HOMER2	-0.976763455149733	3.96728747569927	-8.31010770200027	1.30735840598577e-05	0.0167250263573848	3.7529496590319	24.6068748139637	0.0118486520920524	0.0137189786065142	0.708438470521199	0.742368240930869	FALSE
TSPAN7	-2.30536949147353	2.15287100800251	-8.43479334124398	1.15488049684537e-05	0.0167250263573848	3.70274865970394	13.6336772249715	0.0118486520920524	0.0132910428157643	0.708438470521199	0.742368240930869	TRUE
C7	-2.03266640065124	8.23003545502521	-8.25642242285574	1.37968390471043e-05	0.0167250263573848	3.63705543324129	814.146861860411	0.0118486520920524	0.0139119991917822	0.708438470521199	0.742368240930869	TRUE
SKIL	-0.675929427277522	5.95358147198972	-8.18139748648472	1.48819536376456e-05	0.0167250263573848	3.61038080375065	85.0820732946297	0.0118486520920524	0.0141918168227597	0.708438470521199	0.742368240930869	FALSE
ADAM28	-3.10344833549413	-1.00857872149586	-8.30431305436092	1.31496157063412e-05	0.0167250263573848	1.90785279341122	2.21475682078667	0.0118486520920524	0.0137395404863931	0.708438470521199	0.742368240930869	TRUE
F3	-1.68533028726263	3.07410432202856	-8.02493448630913	1.74579298428087e-05	0.0182185967859596	3.4497401628673	18.9532227864043	0.0129067548420877	0.014818599750772	0.708438470521199	0.742368240930869	TRUE
MAGI2-AS3	-0.474005901637173	6.24132783963904	-7.90357851402188	1.9792048942797e-05	0.0192774556702843	3.3270655585271	94.4494578162541	0.0136568912105964	0.015351384235649	0.708438470521199	0.742368240930869	FALSE
PRDM6	-3.13878252283444	1.64036709991312	-7.7040192442005	2.44069837349229e-05	0.0209756489627778	2.93730878592386	14.6520061221791	0.0148599566693799	0.0163338613080028	0.708438470521199	0.742368240930869	TRUE
WDR86	-1.32222754904462	1.15066547017636	-7.74568068190626	2.33541932233812e-05	0.0209756489627778	2.79268100284106	4.15817900354161	0.0148599566693799	0.0161165569943984	0.708438470521199	0.742368240930869	TRUE
EXOG	0.765498082960463	4.85974802427641	7.57429042908233	2.80315080417426e-05	0.0218708969470043	2.99729907898408	34.6766961729411	0.0154941847820625	0.017057307913539	0.708438470521199	0.742368240930869	FALSE
PDGFD	-1.5839461136639	5.35508437730097	-7.52582072274957	2.95332526718862e-05	0.0218708969470043	2.92919601102038	89.1287595757707	0.0154941847820625	0.0173472719179881	0.708438470521199	0.742368240930869	TRUE
KLHL4	-1.10024012187596	4.83992501946151	-7.49875848219307	3.04097709214556e-05	0.0218708969470043	2.90261485121962	48.2516598109227	0.0154941847820625	0.0175141619786819	0.708438470521199	0.742368240930869	TRUE
IGSF9	1.64901738037116	4.3940941082751	7.39240887594438	3.41397939570662e-05	0.0218708969470043	2.82139976350522	31.1099903832666	0.0154941847820625	0.0182068851630719	0.708438470521199	0.742368240930869	TRUE
HS2ST1	-0.607994308052186	6.14918630318857	-7.36633978952856	3.5128476840101e-05	0.0218708969470043	2.74903059468955	94.298158030934	0.0154941847820625	0.0183861834520667	0.708438470521199	0.742368240930869	FALSE
COL5A2	1.22451457168093	10.9365231332026	7.424816200571	3.29528406205637e-05	0.0218708969470043	2.73583140320775	2607.96250233423	0.0154941847820625	0.0179893442387741	0.708438470521199	0.742368240930869	TRUE
DIXDC1	-0.575715603368574	5.73118422209341	-7.32775178221394	3.66497535613061e-05	0.0218708969470043	2.69901837136502	69.7360247561779	0.0154941847820625	0.0186588762952425	0.708438470521199	0.742368240930869	FALSE
CCL21	-3.00392066294011	2.76912302148749	-7.2392249255815	4.04184953846076e-05	0.0218708969470043	2.64487812028106	29.3458771738114	0.0154941847820625	0.0193191783723012	0.708438470521199	0.742368240930869	TRUE
PRDM6-AS1	-3.55814628678967	-1.13306370861601	-7.24185538878261	4.03006071734728e-05	0.0218708969470043	1.22986298676065	2.5487623560779	0.0154941847820625	0.0192988311638066	0.708438470521199	0.742368240930869	TRUE
PLSCR5	-3.54140588623527	-2.10468039964565	-7.30538518884535	3.75643205920975e-05	0.0218708969470043	0.528156414074152	1.2374688649874	0.0154941847820625	0.0188210439875974	0.708438470521199	0.742368240930869	TRUE
COL12A1	-1.63210981003832	6.10013129429401	-7.18306224366181	4.30273980485208e-05	0.0220978604352959	2.56726526197942	147.454875002235	0.0156549744485719	0.0197647696102035	0.708438470521199	0.742368240930869	TRUE
NOSTRIN	-1.40622006161077	1.67419716496594	-7.16585648463099	4.38629673253648e-05	0.0220978604352959	2.43308195789737	6.24947070235247	0.0156549744485719	0.0199056563477461	0.708438470521199	0.742368240930869	TRUE
IRX1	2.97526399595819	4.63349993478555	7.12408819232781	4.59659029500023e-05	0.0223853947366511	2.52616683313138	50.8196161351143	0.0158586748092464	0.020256546200215	0.708438470521199	0.742368240930869	TRUE
AFAP1L2	-2.87188668581246	3.01264130033107	-7.0666623187095	4.90386063764907e-05	0.0223891887237666	2.46970010836635	32.0665035477697	0.0158613626156757	0.0207603232450554	0.708438470521199	0.742368240930869	TRUE
HS6ST3	2.62235001746999	0.637972708051145	7.08431132144779	4.80710809292708e-05	0.0223891887237666	1.23614057439056	2.90617771069465	0.0158613626156757	0.020602790661259	0.708438470521199	0.742368240930869	TRUE
PPFIBP1	-0.982928187381561	6.66660144145803	-6.89641638425354	5.95415602998497e-05	0.0258699241354964	2.2452838932117	161.228330387554	0.0183272494870505	0.0224129796279536	0.708438470521199	0.742368240930869	FALSE
