logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
APLNR	-3.04355616132028	4.1921381447079	-58.9711541817248	6.14437369834539e-19	8.50229603538311e-15	32.9206720469367	52.7192166379855	2.36046821374167e-15	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
HHIP	2.61387543176315	4.92217421652749	55.9616788054758	1.32706135997258e-18	8.50229603538311e-15	32.5835336550249	77.1257767170106	2.36046821374167e-15	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
BMP10	3.85743692638148	5.07438556617662	54.8457635137743	1.78419754519791e-18	8.50229603538311e-15	32.2873894961224	130.747107123048	2.36046821374167e-15	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
KDR	-2.36900519818985	5.23319988511365	-44.6388594275738	3.66539461613749e-17	1.14033435340321e-13	29.692511911547	85.5107540341792	3.16587776177643e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
AFAP1L2	-2.45587198896481	4.43050768856043	-44.2962679902876	4.1036436661764e-17	1.14033435340321e-13	29.4397084256711	50.6055263374236	3.16587776177643e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NID2	-1.56077175284553	8.44182286539222	-43.375208495443	5.58361812662456e-17	1.14033435340321e-13	29.347707070287	596.059048925223	3.16587776177643e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
RSPO3	-4.95388655569798	2.87532287872074	-43.6689480195307	5.05778687256904e-17	1.14033435340321e-13	27.7767645232465	40.8785440358557	3.16587776177643e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PTX3	1.80464722593609	6.24662154601261	41.5582025625762	1.04512803021308e-16	1.86764378999078e-13	28.7415011626628	143.87943071287	5.18508621967384e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
DGKK	-2.38642385697505	3.93811446150476	-40.3497887765901	1.60990292528361e-16	2.55724135776161e-13	28.1130440687478	35.249990558816	7.09959629109746e-14	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
FZD7	2.2937208725299	3.93617303738466	37.1996332097182	5.28640695345084e-16	7.55744738065332e-13	26.9497604214305	35.3444589347899	2.09815257488309e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
LAMA1	-1.89945948562666	6.71347556895544	-35.5440496671559	1.02801768804761e-15	1.33604916984806e-12	26.4742513294972	202.257368007437	3.70923522810526e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SEMA3F	1.77202196555324	4.01777339014831	34.395211250838	1.66063985207718e-15	1.97837561044128e-12	25.9319546828208	30.0529843282627	5.49250781654061e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
EPAS1	-1.26981522409867	5.62601928184472	-32.9727261251203	3.07457184034048e-15	2.96550524497256e-12	25.3769753082719	76.8312717605016	8.23304768419121e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
MASP1	-1.25015139796324	8.69614916290761	-32.9639211344331	3.08656411392183e-15	2.96550524497256e-12	25.3728807293923	639.387442385796	8.23304768419121e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PLK2	1.09450024401453	7.35790994223876	32.945699729048	3.11154019827842e-15	2.96550524497256e-12	25.3554467703567	241.579562192667	8.23304768419121e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
FLT1	1.40882219175994	5.80757916946222	32.5908440098655	3.64349132983331e-15	3.25545950320606e-12	25.2028705075598	91.3608596201581	9.03803942659929e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
DUOX2	-5.79759541344667	0.312312783333357	-32.4083117798982	3.95419946781847e-15	3.32524915246664e-12	21.5755842833997	9.27739123328458	9.23179444058869e-13	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
LRRC55	-2.80063627337352	2.86027997293777	-31.7665218314862	5.29161003611704e-15	4.20271428201829e-12	24.5174234418572	19.1374498763442	1.1667875868892e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SORD	-1.13378343484174	5.81925360150234	-31.2434333205919	6.73858189552453e-15	4.60109321660385e-12	24.5781958922898	83.3950952311526	1.27738839497682e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
TBX2	-2.37539389901318	3.94421688147479	-31.2064492568363	6.85575892190503e-15	4.60109321660385e-12	24.5438801483354	35.0957664783619	1.27738839497682e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NT5E	2.76777332556891	4.28457462924276	31.1373396764412	7.0805855319869e-15	4.60109321660385e-12	24.5216246826598	52.4379077391335	1.27738839497682e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
TRH	4.11544285046498	3.62320610895462	31.3903347981522	6.2938256592953e-15	4.60109321660385e-12	24.4629739655164	52.1459123278185	1.27738839497682e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
VAT1L	-1.86576580256047	6.04168007498344	-30.8411949734402	8.13699254456213e-15	5.05767153987218e-12	24.3881022155993	125.428080901117	1.40414693345551e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
EMP1	1.41328869756729	4.78267239223081	29.9484919547135	1.24734319156264e-14	7.43000761107477e-12	23.9823026011428	45.6978156709404	2.06277183490358e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
LHX2	3.70822731007321	1.33508534879577	29.7991144569228	1.34138258354736e-14	7.67056216575724e-12	22.6412927821025	9.29429107143979	2.1295563102542e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
FZD1	-1.3698817371863	7.13811831985304	-29.2284350683295	1.77655306883347e-14	9.76830872001663e-12	23.582078934845	225.75386494762	2.71194770679092e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
GJA1	1.31052868138248	8.99318703730135	29.0232675101482	1.96794370973823e-14	1.04198975090436e-11	23.4976711959492	803.729146467877	2.89284644502914e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SLC7A11	2.80456195002082	3.24035651758625	28.9283130496918	2.0638616213403e-14	1.05374877638146e-11	23.3521409805851	25.5720590651394	2.92549269228725e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PALMD	1.83095499121474	3.79183555834569	28.8110022299373	2.18930065885925e-14	1.07924973169144e-11	23.4023963438783	26.7667208993294	2.99629026764661e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SORCS1	-1.49400329394021	4.05618245682962	-28.3905743959434	2.71005334982279e-14	1.29143075630222e-11	23.2097504034739	28.0970182311562	3.58536239836113e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PRDM6	-3.42779949971438	2.27567531708789	-28.1090624527862	3.13165615637799e-14	1.44419859392193e-11	22.6465726409764	15.9602836819749	4.00948739151907e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
TBX18	1.9054386273429	5.67698920072315	27.9722511111264	3.36133563467843e-14	1.49814790581329e-11	22.9522267355449	99.984316603723	4.15926532837618e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CDH3	-1.95907761875314	5.03270691380672	-27.9174980375878	3.45823173557909e-14	1.49814790581329e-11	22.9469568278373	64.6571634437363	4.15926532837618e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
STRA6	-1.50414184403583	3.44609667366275	-27.6702391023812	3.9344377742327e-14	1.65431536530679e-11	22.8287200358534	18.5116119652778	4.59282859484102e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NGFR	-1.06829684786612	5.91625324699975	-27.4201756343152	4.48786779419372e-14	1.83310165673695e-11	22.63741152787	87.6388605527897	5.08918787969465e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NPY	-3.63967219856422	0.376220864671215	-26.7374192620503	6.46687515139084e-14	2.56806797678565e-11	20.7493785419717	4.56014207910025	7.12965392489682e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
ARHGEF26	1.61108385424338	3.54008808030686	26.6587805102292	6.74866477923964e-14	2.60753815362189e-11	22.2902188065779	20.4539093079344	7.23923385180713e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NAALAD2	-1.86274198177366	3.32692786563253	-26.5468964970288	7.17237419732601e-14	2.69832267170981e-11	22.2277348651135	19.2697014826552	7.4912763216936e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
GBP4	-1.56339800879755	5.51147043667352	-26.4277256814745	7.65505749907631e-14	2.78055057579667e-11	22.1116462026289	78.3187249768976	7.7195633080228e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PRDX1	1.02456448911198	8.1834210224233	26.3981964586376	7.77994005539079e-14	2.78055057579667e-11	22.0775098394043	415.248344827736	7.7195633080228e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
DSC3	1.11272018087665	6.21870057750752	26.0373910605926	9.49426285716789e-14	3.31048736112371e-11	21.8683288945808	113.69089736227	9.19081170004677e-12	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
EHD3	-0.956499264232265	7.20024989246664	-25.659528077118	1.17294347467216e-13	3.99247616997933e-11	21.6391891558309	204.237004965124	1.10841977909707e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
TLL1	2.62789947316419	3.4928633575804	25.3717633938915	1.38061957373786e-13	4.43462372630132e-11	21.5782030170213	28.3448541750817	1.23117194488126e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CHST11	-1.29029282527224	4.74378037687415	-25.4050920100411	1.35467497964554e-13	4.43462372630132e-11	21.5552281827107	41.7747338298474	1.23117194488126e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
MMD	-1.60543979417865	4.84607181166338	-25.3155286144862	1.42560409558003e-13	4.43462372630132e-11	21.5055238179781	50.0693460093244	1.23117194488126e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SEMA3A	1.26006976512984	6.13668067721215	25.3139104325592	1.4269214564204e-13	4.43462372630132e-11	21.4426587429207	109.338761686229	1.23117194488126e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CPA4	2.95006129202282	4.60591608877603	24.9230861309338	1.78652222804462e-13	5.32222062108644e-11	21.3169700870835	69.5610473336642	1.47759294081424e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
DUSP4	2.58751273814156	3.78517696648975	24.8870803385171	1.82420824309762e-13	5.32222062108644e-11	21.3074278670656	34.5342802612065	1.47759294081424e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
GABRA4	-3.38302836688145	1.54608448093121	-24.9176716013818	1.79213599095873e-13	5.32222062108644e-11	20.8116184828635	9.42599772377596	1.47759294081424e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
ACKR3	-2.05902995239206	4.03045327835982	-24.7824467182648	1.93861574929369e-13	5.54289015038053e-11	21.2384525932608	33.4354647169014	1.53885679324566e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PGBD5	-1.6381830845747	3.05057109689876	-24.7370574064221	1.99060254732813e-13	5.57993216011822e-11	21.2111685913419	14.6897331785768	1.54914066082627e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
KIF1A	-1.36395723855079	7.16718866365047	-24.1480940663635	2.81817374281761e-13	7.60162487307935e-11	20.7353641008604	230.689436270097	2.11041744618379e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
HRK	-3.00381499095463	1.95477909199778	-24.1680493562796	2.78480567249025e-13	7.60162487307935e-11	20.6198680268437	11.0054471110631	2.11041744618379e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
BAMBI	-0.89360586134675	7.8971041745206	-23.8522484714386	3.36619711971591e-13	8.91169518952938e-11	20.5590799193156	324.20182125076	2.47412853397438e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
FGF2	1.21206917884684	3.9357911023504	23.5560295977883	4.03020914240689e-13	1.04756127090634e-10	20.5018370812988	23.4988193431732	2.90831449720255e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
TMTC1	1.31301185700169	5.02707770858315	23.5143843758759	4.13423285480088e-13	1.05541058736131e-10	20.3894089387015	51.8408772074887	2.93010633074309e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CA12	1.93716740348347	3.04318550492112	23.4015523509654	4.43072036831709e-13	1.1105193849221e-10	20.4099221091044	16.4147435143303	3.08310331461477e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SULF1	1.77529186759542	7.2778659065053	23.3743766570458	4.50546476815067e-13	1.1105193849221e-10	20.2516336405617	293.45187242732	3.08310331461477e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SERPINE2	0.996224941905029	5.69017184133808	23.2806981605746	4.77359599813736e-13	1.15666658287071e-10	20.2147373261497	74.345626081818	3.21122046492053e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
COL12A1	-1.5615734008498	6.78670269691758	-23.2278245950043	4.93240033668558e-13	1.17522658688762e-10	20.1564459957359	189.523343067588	3.26274807504668e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
GRIN2A	-1.77662209233737	4.47471270865077	-23.0849722713521	5.39028721721609e-13	1.26327124684133e-10	20.1689780723813	41.2233972134993	3.50718395489084e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
MYLIP	-1.07493731535004	5.12625908014491	-23.0107479363116	5.64590282628632e-13	1.30183591620305e-10	20.0634967445256	50.5638956406015	3.61424994720981e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SV2C	-3.75057058825466	2.81751665600452	-22.8855271916786	6.1068822231673e-13	1.38577759146666e-10	20.0291902189202	26.1250060946964	3.84729482760846e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CCL21	-1.70120700671022	2.91983570231702	-22.8134974304552	6.39008881566052e-13	1.42738608919817e-10	20.0524133548698	13.574863649826	3.96281131387056e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NKX2-6	-3.57371365901477	3.03204906426245	-22.68889816765	6.91356795449508e-13	1.46408719698887e-10	19.9499553824336	28.5823785659083	4.06470355331803e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
BCAT1	1.22168964289178	5.75685160325936	22.7199020340174	6.77917508828958e-13	1.46408719698887e-10	19.845226324215	83.0643088802378	4.06470355331803e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
C7	-2.46595373092715	7.87147595182914	-22.7059222459994	6.8394254633018e-13	1.46408719698887e-10	19.8301663703022	554.18498585456	4.06470355331803e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
MSMO1	1.0402385092607	6.21786807319084	22.6774198743324	6.96404094818432e-13	1.46408719698887e-10	19.798105257535	107.014354938186	4.06470355331803e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PAPSS2	1.04409645030582	5.51310837392673	22.6508531478729	7.08237441461922e-13	1.46738586422314e-10	19.8094582643181	65.987449971954	4.0738615491368e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
UBASH3B	2.18063817806311	4.12400957843459	22.5963585881908	7.33186399801706e-13	1.4798123654465e-10	19.89388194854	37.6534984188003	4.10836089028383e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
AP1M2	2.85655522478698	0.97241876242059	22.5926080789099	7.34937590561705e-13	1.4798123654465e-10	19.3194270079889	5.3741377337181	4.10836089028383e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
LHFPL2	-0.867964484537645	5.15421455960499	-22.5062543105681	7.76516076732303e-13	1.54181581013403e-10	19.7315695941395	48.0342599549636	4.28049928645155e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
ADAMTS17	-2.13782776968856	2.51731038692098	-22.4463071744695	8.06850432371195e-13	1.58010051796967e-10	19.7792526441965	12.0343258283968	4.38678802956558e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
FOXD1	1.86873046995146	3.19656792441306	22.4087437462472	8.26500056015405e-13	1.59670875686436e-10	19.8012810093117	17.9021822189035	4.43289700981513e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
MEST	0.875759201751699	6.45018633000918	22.2848651074429	8.94999528556022e-13	1.70531528026573e-10	19.5324970013889	118.595431028816	4.73441820506292e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
TSPAN7	-2.7775559148819	0.990357485658175	-22.2649328735535	9.06574995104891e-13	1.70531528026573e-10	19.2470574183272	5.24116780151021	4.73441820506292e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
IGFBP2	1.59569137218151	8.09663095188907	22.137859126464	9.84226901487043e-13	1.82733867320244e-10	19.4489779957501	484.575569671319	5.07318827277326e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
PPP1R3A	2.91435831566844	2.24264678802316	21.926180092995	1.12974934465889e-12	2.07062777323634e-10	19.4068425130097	13.1927829005954	5.74862486659444e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
NR2F2	1.14022348848741	4.20333825802983	21.8653946355606	1.17565537989623e-12	2.12748978620209e-10	19.4034029554098	28.2265827148566	5.90648925242204e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
HMGCS1	0.885491446249721	7.61290400802552	21.8230795999195	1.20878369319683e-12	2.16009645974273e-10	19.2248564376874	266.424066721624	5.99701423076696e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
RASGRF1	2.65055211392449	1.09029419721397	21.7817518296538	1.24210098551503e-12	2.19223156653369e-10	19.0163581763462	5.39958399937328	6.0862300117861e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
JAKMIP2	1.97228605901293	1.62582272577511	21.7359587958374	1.28016444050522e-12	2.23185741969057e-10	19.1904821192177	6.10989816168376	6.19624213842807e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
EPHB2	1.02336308987278	5.18548611906969	21.6617223496285	1.3445357281864e-12	2.23923679489732e-10	19.1658795827054	52.1870868002941	6.21672928747618e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
USP53	0.762453723057467	6.76947040829787	21.6924596401441	1.31747415479012e-12	2.23923679489732e-10	19.1261475090182	142.1876738247	6.21672928747618e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
GDF2	-1.14790545402808	6.42468968013245	-21.6588993509234	1.34705067404287e-12	2.23923679489732e-10	19.1091864249654	127.546993125684	6.21672928747618e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CA8	-3.26813971766703	-0.207931134530358	-21.6945538819897	1.31565159790767e-12	2.23923679489732e-10	18.1839827190317	2.69642401673493	6.21672928747618e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
BRINP3	2.68830090637178	3.33014407173828	21.535855955764	1.46168912869713e-12	2.34789975099485e-10	19.2342812904543	25.6576350269264	6.51840715520979e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
CBLN2	1.10901408677037	5.05456185498653	21.5463392663892	1.45152808905467e-12	2.34789975099485e-10	19.0875875831284	48.9561181504432	6.51840715520979e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
LGMN	-0.764446050403113	7.29427016112614	-21.5386808180498	1.45894366677165e-12	2.34789975099485e-10	19.0243390559975	204.314318029807	6.51840715520979e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
PROM1	-1.20780178925497	3.29418094743522	-21.4153970210191	1.58404123870946e-12	2.51616150539893e-10	19.132989700124	15.3406358142043	6.98554746790457e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
GRK5	0.948491070404552	4.54845159124065	21.3741220215707	1.62843852149288e-12	2.53045185905023e-10	19.0105953243998	32.508209466328	7.02522136942087e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	FALSE
NNMT	2.89604632338894	2.09015478178705	21.3776415716392	1.62460150501014e-12	2.53045185905023e-10	18.994264256571	12.1825801969992	7.02522136942087e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
DOK4	-1.21531137192151	7.61013626441443	-21.3493512247338	1.65571836112294e-12	2.54517738608747e-10	18.8987788039157	297.146966088929	7.06610343040457e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
SLC7A8	-1.50903314761868	2.65627927332377	-21.2766212942927	1.7386671104692e-12	2.61641947487029e-10	19.0604151757771	10.773569064523	7.26389081083987e-11	2.22611716582113e-07	0.277627149645031	0.290290990486849	TRUE
