logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
NTRK2	3.06802934556928	5.92526070047661	29.1123559294674	7.91697699204002e-13	1.26814137458497e-08	18.9861881172223	122.988541828259	5.63669778045175e-09	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
FOXA2	2.59966463324403	8.37018025239808	26.580909290508	2.41641197813591e-12	1.93530435328905e-08	18.7504185935008	604.010360825085	8.60213693150194e-09	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
MOXD1	-2.72233544217323	5.06448803683334	-25.065228957941	4.95679278606515e-12	2.64659689490638e-08	17.5739440108694	118.48537725591	1.17637253560563e-08	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
IGF2	3.36030429935352	9.69978268175297	23.9121890362534	8.81065751856749e-12	3.52822780331035e-08	17.5726123375769	1822.69946458839	1.56824422153692e-08	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
SERPINI1	2.76630587054614	5.08554662369387	21.2565966024545	3.69255959004003e-11	1.18294839026522e-07	15.5608631373213	64.2676033884212	5.25802777153233e-08	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
NR2F1	1.9894756164539	8.26332068312742	20.9009038584343	4.53162746108527e-11	1.20979347786106e-07	15.9531594377488	484.351115332719	5.37735015048794e-08	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
SLIT1	4.96122833177636	6.89746776745559	19.5782556815573	1.00000392867946e-10	2.2882947042268e-07	14.9286895396527	379.974100373271	1.01711259791962e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
ENSG00000240801	3.3541671688555	8.8195228905733	17.7875859742664	3.17646225040724e-10	6.3600715408779e-07	14.0188229259281	1002.19814056818	2.8269561940374e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
CHGA	2.84371704431758	6.22887255025469	17.4281672967129	4.05834551786289e-10	7.22295316723641e-07	13.7236312509477	145.210577527822	3.21049410594248e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
GPC3	-1.53498944093674	7.60296378767259	-17.096953280537	5.10764632025003e-10	8.1814278757765e-07	13.5410570577315	397.879367871035	3.63652170590271e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
SYT4	1.53452829817898	5.98927148555391	16.6920537444582	6.80406431064094e-10	9.90795473889514e-07	13.2503847950661	90.2837194727106	4.40393694305765e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
GATA2	3.17117699403491	4.4878228875068	15.7197822376738	1.3917574610899e-09	1.85776425097817e-06	12.1457626659745	46.6208424928208	8.2574828327152e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
MEF2C	2.02184302320637	6.08847026567228	15.5525685533871	1.58043828011529e-09	1.94734310545282e-06	12.4247316230623	108.611668341327	8.65564737518029e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
ABCC4	-1.80719191965754	4.37054452942835	-15.3485364702165	1.84877719285056e-09	2.1152652196486e-06	12.1815545426659	48.1834980655904	9.4020359303884e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
DLK1	-2.04833227428778	11.2152802578637	-15.2488535669188	1.9973697149212e-09	2.13292453957386e-06	12.0092952671357	6180.99567821968	9.48052895287147e-07	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
IGFBP5	1.35953301859659	10.6337254117936	14.8366538704907	2.76332439955235e-09	2.67842298212326e-06	11.7261912898613	2174.45524044909	1.19051875295735e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
FEZF2	-1.94304437735049	4.64088906051029	-14.692415203964	3.10167989474214e-09	2.67842298212326e-06	11.7239121285089	61.3871121406793	1.19051875295735e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
MEIS1	2.59010472018251	4.8317882036667	14.7953611377693	2.85593404901477e-09	2.67842298212326e-06	11.7103463867814	52.0236397039656	1.19051875295735e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
S100A10	-1.48885053130126	7.27830101320108	-14.6625920185507	3.17705310652653e-09	2.67842298212326e-06	11.6939126674079	311.377103975249	1.19051875295735e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
OPCML	2.56281889256927	4.28963710754792	14.5205842245431	3.56401401815571e-09	2.85441882714091e-06	11.3756389033097	35.1135202155808	1.26874626046252e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
LMCD1	1.50143383565251	6.8032771155261	14.2171978681301	4.57151299152543e-09	3.32847704992065e-06	11.3560957011256	157.453256014697	1.47945801434895e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
ONECUT2	2.12971696173142	7.67363951494607	14.237923654209	4.49374481583189e-09	3.32847704992065e-06	11.3507169071512	336.484916861836	1.47945801434895e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
FRZB	-2.81608045414179	4.96288067502931	-13.7022401456022	7.0530793806349e-09	4.91200980517434e-06	10.9402310417819	117.286191869078	2.1833145200743e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
FZD8	-1.65374091367871	5.64037417605188	-13.4139500157519	9.04816314042192e-09	5.94797599183465e-06	10.6916996957253	108.125422244119	2.64378591719138e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
ONECUT3	2.20641789042968	5.59302491748144	13.3329324108985	9.71250308029775e-09	5.94797599183465e-06	10.6298458982733	80.6138354818086	2.64378591719138e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
SEMA5B	2.48238402181855	4.23757266548155	13.2967547030842	1.0025930314617e-08	5.94797599183465e-06	10.4391357164495	33.4385064933632	2.64378591719138e-06	4.70084684927806e-06	0.444484967797577	0.491072543388688	TRUE
DAB1	3.90376662324445	4.78096712901763	13.3240643108908	9.78834515403002e-09	5.94797599183465e-06	10.4029774140306	68.8559874883852	2.64378591719138e-06	4.69329503183096e-06	0.444484967797577	0.491072543388688	TRUE
GLI3	-1.39983259239568	5.26434979865355	-13.1567298849519	1.1345518517775e-08	6.49044698634713e-06	10.4737140075108	73.3109436164909	2.88490611971838e-06	5.08265489860087e-06	0.444484967797577	0.491072543388688	TRUE
VCAM1	-1.36530452250564	6.34352174202188	-12.956617628668	1.3565705954438e-08	7.25623010035873e-06	10.2514534658583	153.130566054052	3.22528520248976e-06	5.71422579103052e-06	0.444484967797577	0.491072543388688	TRUE
FOXG1	-3.14024858366613	3.72910684933672	-12.9546160952454	1.35901425278288e-08	7.25623010035873e-06	10.1759939495467	54.9520485659977	3.22528520248976e-06	5.72110504360499e-06	0.444484967797577	0.491072543388688	TRUE
TLE1	1.19680160271418	6.74127394205837	12.8809014123595	1.45239137611489e-08	7.50464679438977e-06	10.1785007184116	140.686118098114	3.33570268873653e-06	5.98285947443463e-06	0.444484967797577	0.491072543388688	TRUE
FGFR3	1.28256466888538	6.05824122359686	12.6958324968597	1.71860936030844e-08	8.30773655867407e-06	10.04132944796	89.326825998177	3.69266401675299e-06	6.71795485859406e-06	0.444484967797577	0.491072543388688	TRUE
LINC01206	-3.74674766206172	2.74154139562694	-12.7040364325384	1.70575820593471e-08	8.30773655867407e-06	9.56925840989042	39.1641516190385	3.69266401675299e-06	6.68282485853871e-06	0.444484967797577	0.491072543388688	TRUE
HOXB1	4.81470363677286	2.32372357622104	12.6677394627896	1.76341018226319e-08	8.30773655867407e-06	7.60974543967798	15.2101300313077	3.69266401675299e-06	6.84015739606732e-06	0.444484967797577	0.491072543388688	TRUE
TSHZ2	2.87192388674142	5.97554186309694	12.5729037398893	1.92415823904521e-08	8.80604762086464e-06	9.95234302055201	122.248476231043	3.91415579318394e-06	7.27536567402878e-06	0.444484967797577	0.491072543388688	TRUE
USP44	-1.70421512044398	4.72572616757401	-12.3879648857584	2.28476094460888e-08	9.63086863440657e-06	9.78460001102637	59.5971166104631	4.2807763348269e-06	8.23409765168871e-06	0.444484967797577	0.491072543388688	TRUE
TRIM9	3.30515733925861	4.35890220895222	12.400000956642	2.25920990990632e-08	9.63086863440657e-06	9.62427872494769	44.8584999743779	4.2807763348269e-06	8.16693511071475e-06	0.444484967797577	0.491072543388688	TRUE
SMOC2	3.28079129034142	3.52089336981363	12.4274746626022	2.20202963794234e-08	9.63086863440657e-06	9.33268198635614	24.8202886878657	4.2807763348269e-06	8.01621726919541e-06	0.444484967797577	0.491072543388688	TRUE
FZD5	-1.4119397203269	6.88758374114593	-12.3200512586842	2.43487446096592e-08	1.00004664399364e-05	9.62222162122868	228.790101444558	4.44505700351589e-06	8.62640832416849e-06	0.444484967797577	0.491072543388688	TRUE
MCUB	-1.57775697734642	4.50315974743071	-12.2115159426986	2.69721359047642e-08	1.02193198409841e-05	9.62004254337805	46.9439419506807	4.54233405043293e-06	9.30303384973919e-06	0.444484967797577	0.491072543388688	TRUE
TNIK	1.916605550397	5.15741035666065	12.1936030371409	2.74335593184114e-08	1.02193198409841e-05	9.6039272400805	55.3696692924702	4.54233405043293e-06	9.42090946193413e-06	0.444484967797577	0.491072543388688	TRUE
GPM6A	2.06060643496686	5.80521619559732	12.1974099414567	2.73347913991263e-08	1.02193198409841e-05	9.59579958239755	90.735959139121	4.54233405043293e-06	9.3957059474477e-06	0.444484967797577	0.491072543388688	TRUE
POMC	-3.93707437201854	1.22173790655365	-12.2502174361441	2.60034297348147e-08	1.02193198409841e-05	8.07604466918417	14.3135447755648	4.54233405043293e-06	9.05447880905933e-06	0.444484967797577	0.491072543388688	TRUE
ZNF703	2.39171365550746	6.30997166325453	12.1542572475744	2.84771166560247e-08	1.03669648771864e-05	9.53895757929702	140.259950371107	4.60796004959482e-06	9.68628953686746e-06	0.444484967797577	0.491072543388688	TRUE
NR2F2	1.29553359313232	8.92903820755901	11.8723925602226	3.73231058441029e-08	1.32853668757965e-05	9.09476782597367	661.205785893575	5.90514586796738e-06	1.18738027491866e-05	0.444484967797577	0.491072543388688	TRUE
PROX1	1.62794520624273	5.25187967437496	11.7628842713384	4.15204400969415e-08	1.35853690438449e-05	9.18944478417192	55.3515638937485	6.03849232197161e-06	1.28765635134073e-05	0.444484967797577	0.491072543388688	TRUE
FBXO32	1.54663367061387	5.27153292283429	11.7619480206704	4.15584394523912e-08	1.35853690438449e-05	9.18690646338356	55.0339101902847	6.03849232197161e-06	1.28855468800552e-05	0.444484967797577	0.491072543388688	TRUE
SALL1	1.0760190940076	6.40769899128903	11.7653304754385	4.14213326251041e-08	1.35853690438449e-05	9.12195375039605	108.300751925338	6.03849232197161e-06	1.28531258707254e-05	0.444484967797577	0.491072543388688	TRUE
H19	2.10380503101191	10.7309094237278	11.7956781882774	4.0212701602485e-08	1.35853690438449e-05	8.93177217551433	2829.94944293435	6.03849232197161e-06	1.2566384829257e-05	0.444484967797577	0.491072543388688	TRUE
ISL1	-2.21187740508175	4.06432098171343	-11.6567617495805	4.60749277254657e-08	1.46253922371856e-05	9.08223837069499	46.1706364628971	6.50076699757238e-06	1.39417922095656e-05	0.444484967797577	0.491072543388688	TRUE
SYT17	1.94055925806907	5.29668967301036	11.6459967420644	4.65660509487119e-08	1.46253922371856e-05	9.0772843382883	61.9071809017277	6.50076699757238e-06	1.40553148361859e-05	0.444484967797577	0.491072543388688	TRUE
NHLH1	-2.34008410558527	3.22853032057896	-11.5878428437936	4.93181873704754e-08	1.51918985634668e-05	8.91882324089451	27.6348248048686	6.75257054376661e-06	1.46868389060298e-05	0.444484967797577	0.491072543388688	TRUE
XACT	-1.94556597928417	5.21397992703703	-11.5282691306433	5.23194609168453e-08	1.58123231125666e-05	8.94236582280325	91.7357878836602	7.02833992949403e-06	1.53668833158444e-05	0.444484967797577	0.491072543388688	TRUE
COL2A1	1.47516667903457	7.77381617397776	11.4529710551911	5.63963960157403e-08	1.6728842062595e-05	8.72817439892587	309.284372693656	7.43571882548327e-06	1.62770243806733e-05	0.444484967797577	0.491072543388688	TRUE
CTSC	-1.63911697337547	5.05386646338901	-11.3775686704413	6.08226452674493e-08	1.77137660344364e-05	8.79688015310274	71.2374020725327	7.87350272539028e-06	1.72485144641398e-05	0.444484967797577	0.491072543388688	TRUE
PLCL1	3.14436440067997	3.80647577566899	11.3262189038504	6.40495901779017e-08	1.83204702762434e-05	8.57077521967168	28.8137158218461	8.1431736407725e-06	1.79465430243624e-05	0.444484967797577	0.491072543388688	TRUE
AGT	2.66708368661902	3.619050271435	11.2561758066764	6.87508484705453e-08	1.93201945754596e-05	8.51742427618658	22.9899003395231	8.58753606371605e-06	1.89489908826552e-05	0.444484967797577	0.491072543388688	TRUE
NEUROD1	-2.64341578887994	2.23987553100868	-11.2198873010747	7.13309836032399e-08	1.9699649919943e-05	8.26382846472695	16.1096907018921	8.75619826028942e-06	1.94922128353141e-05	0.444484967797577	0.491072543388688	TRUE
SNCAIP	2.0195251618894	5.03878101224336	11.1904269535411	7.35020536540472e-08	1.9955184668314e-05	8.62993177285703	53.467785495489	8.86977961469026e-06	1.99456653104315e-05	0.444484967797577	0.491072543388688	TRUE
PLOD2	1.4501092694677	7.07477039217324	11.0982119580262	8.07686863480478e-08	2.15625469653838e-05	8.39829827939138	189.455494502249	9.58422799354237e-06	2.14404031841889e-05	0.444484967797577	0.491072543388688	TRUE
EPB41L3	1.87973570253293	4.88798933075525	11.0538713392315	8.45339104207133e-08	2.21977733953932e-05	8.49267721417575	46.1707321529279	9.86657659282925e-06	2.22017423742231e-05	0.444484967797577	0.491072543388688	TRUE
CDH3	-1.26048423507847	4.47511995318782	-10.9863415883595	9.06346502702857e-08	2.24726649076873e-05	8.41985607237329	39.9360528308837	9.98876173781911e-06	2.34175240025043e-05	0.444484967797577	0.491072543388688	TRUE
JAKMIP2	1.5506174510758	6.3448205601448	11.0215084333902	8.74007514422636e-08	2.24726649076873e-05	8.37085777929751	117.099412612987	9.98876173781911e-06	2.27757315959387e-05	0.444484967797577	0.491072543388688	TRUE
SULF2	1.86217136059045	6.20937825483032	10.9804104337026	9.11926095017901e-08	2.24726649076873e-05	8.34617010189688	115.361193946661	9.98876173781911e-06	2.35276605028781e-05	0.444484967797577	0.491072543388688	TRUE
LTBP1	-0.941901797750595	6.71028369096343	-10.9915343457794	9.01491602404234e-08	2.24726649076873e-05	8.28052561034205	163.669322231311	9.98876173781911e-06	2.3321551334102e-05	0.444484967797577	0.491072543388688	FALSE
ARX	4.88852651349736	6.47180026550842	10.8428878234181	1.05219486198698e-07	2.51553094019515e-05	8.27642543616163	298.123356879654	1.11811568894645e-05	2.62429016723584e-05	0.444484967797577	0.491072543388688	TRUE
MIR124-2HG	2.32842459271367	4.03848103157245	10.853423946217	1.0406693413248e-07	2.51553094019515e-05	8.24721211379929	28.1317558867169	1.11811568894645e-05	2.60234748885232e-05	0.444484967797577	0.491072543388688	TRUE
NKX6-1	4.65494714031177	2.99977319751006	10.8104102454731	1.08859201155105e-07	2.56427453544482e-05	7.22913512768948	23.9537528796766	1.13978148431134e-05	2.69318090445515e-05	0.444484967797577	0.491072543388688	TRUE
NQO1	-1.06882990397295	5.13919264375004	-10.6849218438689	1.24243770052016e-07	2.88425609955535e-05	8.06620310920145	57.8457386059243	1.28200847953082e-05	2.97807205957783e-05	0.444484967797577	0.491072543388688	TRUE
BCHE	1.62426253860101	4.52257039505801	10.6565676987037	1.28033239716665e-07	2.92976633397362e-05	8.08505657724652	33.152723831555	1.30223709461069e-05	3.04679871565962e-05	0.444484967797577	0.491072543388688	TRUE
GNG11	-1.68514097279661	4.7072134984138	-10.6138584831395	1.33977063781077e-07	2.97476457846281e-05	8.02002661195681	57.7902716610317	1.32223813786341e-05	3.15353569835771e-05	0.444484967797577	0.491072543388688	TRUE
WNK2	1.47446215440918	5.82556174808685	10.607381605327	1.34903989321519e-07	2.97476457846281e-05	7.96284248421961	79.88163293415	1.32223813786341e-05	3.17006799144436e-05	0.444484967797577	0.491072543388688	TRUE
STC2	1.42847924006552	7.28351040489696	10.6027495257681	1.35571116386431e-07	2.97476457846281e-05	7.84712174469554	219.049540011079	1.32223813786341e-05	3.18194815746025e-05	0.444484967797577	0.491072543388688	TRUE
FANK1	1.76981145077105	4.21425452388808	10.549278061574	1.43533609611669e-07	3.1069207550807e-05	7.96896463362291	27.6359793589297	1.38097957177167e-05	3.32258372194422e-05	0.444484967797577	0.491072543388688	TRUE
SULF1	4.14192031150604	7.62824531993607	10.5220264592649	1.47783285822788e-07	3.15625689641256e-05	7.82755661889171	563.68088308506	1.40290874496281e-05	3.39679785662403e-05	0.444484967797577	0.491072543388688	TRUE
TMEM65	1.48495742114565	7.05717257174906	10.4946612292291	1.5218671405322e-07	3.18673472927931e-05	7.74439758679939	190.240476308345	1.41645568352313e-05	3.47310514920043e-05	0.444484967797577	0.491072543388688	TRUE
MGAT4C	-3.1445654151215	2.7393568953504	-10.4885494405976	1.53189270916785e-07	3.18673472927931e-05	7.74138491424023	28.9420298951711	1.41645568352313e-05	3.49039659699867e-05	0.444484967797577	0.491072543388688	TRUE
DIPK2A	1.53301083234478	7.00889309948843	10.4290242231392	1.63332298759766e-07	3.35417533529991e-05	7.67564993522333	185.456626416835	1.49088051589821e-05	3.66369915162721e-05	0.444484967797577	0.491072543388688	TRUE
GNAI1	1.07700007835738	5.22170867390489	10.3958713567303	1.69291692236691e-07	3.39122738967253e-05	7.76613360692408	47.463705265731	1.50734959709286e-05	3.76419188152876e-05	0.444484967797577	0.491072543388688	TRUE
CNTNAP2	-1.41438377754592	5.81372359901455	-10.3954395782186	1.69370827302911e-07	3.39122738967253e-05	7.69801110722709	109.994203159709	1.50734959709286e-05	3.76551998499866e-05	0.444484967797577	0.491072543388688	TRUE
