logFC	AveExpr	t	P.Value	adj.P.Val	B
NTRK2	3.0547064209287	5.92269716360273	27.9067066059393	1.37195624017216e-13	3.11845653391131e-09	20.6276161060473
FOXA2	2.58532136074615	8.36761671552421	26.0302628449027	3.5436044983496e-13	3.89439554328983e-09	20.5635991091556
MOXD1	-2.73521107762641	5.06192449995947	-25.3284986175386	5.13998531890431e-13	3.89439554328983e-09	19.669356287156
IGF2	3.34560291688447	9.69721914487909	23.999878191561	1.06875223616716e-12	6.07318458201988e-09	19.5751651417648
NR2F1	1.97602722293113	8.26075714625354	21.0949416797795	6.12186876828331e-12	2.70552886294016e-08	17.8457692999373
SERPINI1	2.7535952183135	5.08298308681999	20.8551546568741	7.14173918945929e-12	2.70552886294016e-08	17.0504013735271
SLIT1	4.94546345801614	6.89490423058172	19.7026242105907	1.53428103204657e-11	4.98202969405978e-08	16.6388069438013
CHGA	2.83095006321996	6.22630901338082	18.3793965520321	3.89372721948393e-11	1.10630524623587e-07	15.9041823038106
GPC3	-1.5478432963957	7.60040025079871	-17.8426428502651	5.78341200718472e-11	1.36039743585302e-07	15.6238787831649
ENSG00000240801	3.33875849702588	8.81695935369943	17.7968391914225	5.9850305140916e-11	1.36039743585302e-07	15.5902702512818
DLK1	-2.05917927611698	11.2127167209898	-16.8043349961906	1.28381942744376e-10	2.65283778052698e-07	14.6657591438118
SYT4	1.52174451911954	5.98670794868003	16.1103591058259	2.24410963335067e-10	3.92373938200467e-07	14.2634595034154
MEF2C	2.00905812791386	6.0859067287984	15.7604453939835	2.99881516112348e-10	4.86879061516691e-07	13.9768225138193
GATA2	3.15998280250338	4.48525935063292	16.1280674174	2.2117610724421e-10	3.92373938200467e-07	13.7605539911087
S100A10	-1.50240922538819	7.2757374763272	-15.2433352458744	4.65267718500375e-10	6.14838782842831e-07	13.529750027053
IGFBP5	1.34569916072783	10.6311618749198	15.3775190323741	4.14622922363512e-10	6.14838782842831e-07	13.5242911950303
ABCC4	-1.82177036120676	4.36798099255448	-15.2684390992526	4.55312361820919e-10	6.14838782842831e-07	13.4753840144431
FEZF2	-1.95550648282882	4.63832552363641	-15.1907237376556	4.86893888744872e-10	6.14838782842831e-07	13.4485083109221
FRZB	-2.82809707375242	4.96031713815544	-14.5804824271287	8.33419315073698e-10	9.46415248257188e-07	12.9513294860136
ONECUT2	2.11887962920874	7.67107597807219	14.5270803687904	8.74382763458027e-10	9.46415248257188e-07	12.9034624632987
MEIS1	2.57613833155043	4.82922466679282	14.5456965266863	8.59863842407063e-10	9.46415248257188e-07	12.7950920745177
LMCD1	1.48806551370232	6.80071357865222	14.2239267309645	1.15157956914666e-09	1.13806102637842e-06	12.6448082259854
FZD8	-1.66686567744906	5.637810639178	-14.1202778083808	1.26677179682238e-09	1.19973845590719e-06	12.5622853367284
OPCML	2.54971556563733	4.28707357067404	14.3075334035515	1.06681415549953e-09	1.10221298884111e-06	12.4557495617051
ONECUT3	2.19229290727004	5.59046138060756	13.5676498284698	2.12841452932942e-09	1.76050912284755e-06	12.0430880313938
TSHZ2	2.8585581150403	5.97297832622307	13.467734722576	2.3423537817875e-09	1.774723382001e-06	11.9510412698494
GLI3	-1.41190224629517	5.26178626177967	-13.3735109600012	2.56522413889603e-09	1.86949735305191e-06	11.8640537948831
FOXG1	-3.15169052244352	3.72654331246284	-13.5126201538941	2.24353541282245e-09	1.76050912284755e-06	11.8280438533743
SEMA5B	2.47027893435372	4.23500912860767	13.5450578482707	2.17489498428449e-09	1.76050912284755e-06	11.8095223735382
VCAM1	-1.37774662168378	6.340958205148	-13.3469987498242	2.6319364407242e-09	1.86949735305191e-06	11.8080552096251
FZD5	-1.42504169253397	6.88502020427205	-13.3011842250264	2.75162070815411e-09	1.89528299079827e-06	11.7381840340515
DAB1	3.88907374931799	4.77840359214375	13.5114101818901	2.246140103941e-09	1.76050912284755e-06	11.7061357795024
LINC01206	-3.77063951980915	2.73897785875306	-13.8017274693025	1.70466737628944e-09	1.54988357852235e-06	11.5862477776184
TLE1	1.18364776677543	6.73871040518449	12.8076830043008	4.48064655115896e-09	2.99544400317186e-06	11.2690989292839
