logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
DLK1	-5.18721705678838	9.9927090496285	-41.3320373880041	1.06501450115633e-14	1.6827212324427e-10	24.014308371096	6171.51273269322	6.45612753965814e-11	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
VIM	-3.52611872569703	10.1760422007399	-38.2285368272793	2.79332390468796e-14	1.6827212324427e-10	23.2218861566071	3943.08190818752	6.45612753965814e-11	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
HAPLN1	7.70679638522776	6.02736891928225	37.9145912140475	3.09266905429645e-14	1.6827212324427e-10	20.9994401431057	947.3055408799	6.45612753965814e-11	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
COL1A1	-3.22958249709998	10.4568665538552	-35.0775454821221	8.07276827581812e-14	3.29429491415448e-10	22.2340101157228	4324.59420379799	1.26392819612518e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
SLC2A3	2.88597092937272	9.69233997850491	33.1827896879911	1.60017201176686e-13	5.2239215496141e-10	21.5803830897743	2236.61650864278	2.00427160074036e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
PRTG	2.92317158668118	8.3825646477582	30.684266475813	4.19241094779175e-13	1.14054539834675e-09	20.6081628695756	911.852866180205	4.37595153286778e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
L1TD1	4.66874192164522	5.55159006025431	30.0602515315355	5.39667586185348e-13	1.25842771561478e-09	19.7551301764134	234.54371549087	4.82823279032126e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
PKDCC	3.89810916744722	7.32503464092814	29.733005690902	6.17342073365831e-13	1.25960933294381e-09	20.1650409913738	611.847096342986	4.83276632328691e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
TFAP2B	4.70927507598251	5.98130891287269	29.1798732009974	7.77454609694731e-13	1.41004351044968e-09	19.6312992196143	321.746019663008	5.4099399023542e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
PITX2	4.36460709428278	5.63768511808161	28.1165220421221	1.22603282848876e-12	2.00125338594221e-09	19.1535162167683	225.797940979001	7.67824571872783e-10	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
MAP1B	-2.36496781952072	9.97188675624967	-26.9825413688468	2.03067330750864e-12	3.01333458167851e-09	19.0549086604171	2289.08562037619	1.15613162797845e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
SPARC	-2.54475852107174	8.93475290309114	-26.6895567311448	2.32118444936404e-12	3.15739114724744e-09	18.9208517293292	1185.16785408621	1.21140207576903e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
BMP4	3.07684510797056	6.74098263693721	26.3449616711435	2.72146897440875e-12	3.41711831302108e-09	18.7171345058056	309.745070473857	1.31105207574641e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
MSX2	3.78864595919645	6.1299108025373	25.5128204892039	4.03017881100365e-12	4.69890062371519e-09	18.2602279265935	259.034982279329	1.80283585527988e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
ESRP1	3.70730145328409	5.40975070301552	25.2907083886965	4.48484425895785e-12	4.88040752259793e-09	18.0100800359679	153.473746864653	1.87247494141738e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
FREM2	3.229055941821	6.52200468911502	23.8128775403528	9.35423207947257e-12	9.2706127346736e-09	17.51029391478	278.259887074962	3.55687305965397e-09	9.44298854817794e-07	0.38367184149012	0.422838938920542	TRUE
