logFC	AveExpr	t	P.Value	adj.P.Val	B
DLK1	-5.2018223063183	9.99040412160545	-43.6846823018191	1.69962968454784e-15	3.85051105034314e-11	25.8046628183497
VIM	-3.54147264057074	10.1737372727169	-38.750133025907	7.98971641513666e-15	6.51031772069869e-11	24.466818232014
COL1A1	-3.24524522838782	10.4545616258322	-35.1573613205791	2.80052403878408e-14	1.48674982707009e-10	23.2757142521155
SLC2A3	2.87079351738245	9.69003505048187	34.7274765185937	3.28128410300173e-14	1.48674982707009e-10	23.1278804487943
HAPLN1	7.69247811261612	6.0250639912592	38.5223689368902	8.62103428033373e-15	6.51031772069869e-11	22.2609246493639
PRTG	2.90804547025123	8.38025971973515	32.3014708147699	8.33095167205895e-14	3.14562850217493e-10	22.178871918191
PKDCC	3.88164735955843	7.32272971290509	31.1878547605739	1.30766501594193e-13	4.23216441945205e-10	21.6649524089152
TFAP2B	4.69414205688861	5.97900398484964	30.2897847263031	1.90297570043343e-13	4.79021272147993e-10	20.9720720744464
L1TD1	4.65309400339771	5.54928513223127	30.596001828179	1.67245110442837e-13	4.7361724713531e-10	20.8908000071447
PITX2	4.34963009660028	5.63538019005856	28.5966727303735	3.97948932559832e-13	9.01553306714298e-10	20.2433319950744
MAP1B	-2.38006055434528	9.96958182822662	-27.6415239962099	6.14896922226062e-13	1.22884816844147e-09	20.2020421195636
SPARC	-2.55973351779293	8.93244797506809	-27.5189250820832	6.50901700344192e-13	1.22884816844147e-09	20.1509429475265
BMP4	3.06207663340585	6.73867770891416	26.8352379453845	8.98082511512563e-13	1.56508148448593e-09	19.7872754175921
MSX2	3.77365454817174	6.12760587451426	26.2447638788642	1.19359487510805e-12	1.9314922782552e-09	19.4307472286322
ESRP1	3.69278017051656	5.40744577499247	25.388333948968	1.8234531826646e-12	2.7540221235511e-09	18.8903742098067
TUBA1A	-2.78415177452953	9.26859201639745	-24.7473333415706	2.52693891943455e-12	3.36751771881116e-09	18.7899657853083
FREM2	3.21293484391673	6.51969976109197	24.763100395449	2.50649660042873e-12	3.36751771881116e-09	18.779607352203
TFAP2A	3.51538382721196	6.53703981191329	24.3729804443537	3.06895677922016e-12	3.86262310184626e-09	18.580025833552
NNAT	-3.87129489572332	8.17087381957485	-24.0234592440662	3.68909350407336e-12	4.39875859656747e-09	18.4158830346106
MAFB	3.40655631914334	6.360836959757	23.8677140619217	4.00770266856722e-12	4.45537543434248e-09	18.3117428798774
