logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
SLIT1	0.998433343917307	7.88484446189929	13.068747288883	1.66254615831918e-08	0.00026387932624842	10.0603015350613	333.670034949243	0.000189739081024348	0.000271694203892208	0.719037310432286	0.777091733870968	FALSE
CHGA	1.26026742865932	5.88733920167003	12.0357312274613	4.22034454904304e-08	0.000334926543412056	8.97493426343234	91.7619347102752	0.000240824680967387	0.000434021872815081	0.719037310432286	0.777091733870968	TRUE
BNIP3	1.19232174796666	6.24054714000345	10.9488115631404	1.21474175486633e-07	0.000642679371107947	8.07772302351575	114.522801274783	0.000462110446471772	0.000721147992277135	0.719037310432286	0.777091733870968	TRUE
GPC3	-0.785912305215937	7.55061055655589	-10.2389777260801	2.54256291526875e-07	0.000961769612530214	7.42957190879973	246.487162038057	0.000691548235449227	0.00100571452287232	0.719037310432286	0.777091733870968	FALSE
CNMD	1.22021499301519	5.09942411068982	9.87988088295559	3.75394728003756e-07	0.000961769612530214	6.84718039150228	52.694638051904	0.000691548235449227	0.00121997404679659	0.719037310432286	0.777091733870968	TRUE
TF	1.31388042780437	4.74669439952502	9.87314195046366	3.78190375403926e-07	0.000961769612530214	6.72463107456339	42.7185595509988	0.000691548235449227	0.00122468716420012	0.719037310432286	0.777091733870968	TRUE
MAB21L2	-1.18643916812691	4.52591349348267	-9.76940088589027	4.24167545848758e-07	0.000961769612530214	6.56812197443385	34.771841428841	0.000691548235449227	0.00130110705417462	0.719037310432286	0.777091733870968	TRUE
P4HA1	0.683283872094081	7.412480844125	9.25723877268578	7.58250639872104e-07	0.00149133259820278	6.35388093787313	215.566806512477	0.00107232378037172	0.00181227046008362	0.719037310432286	0.777091733870968	FALSE
SULF1	0.847864662988929	8.67362013228324	9.16343799413412	8.45639704122037e-07	0.00149133259820278	6.22530272053167	547.95707324828	0.00107232378037172	0.00193626607215848	0.719037310432286	0.777091733870968	FALSE
ARX	0.828954238317631	7.32434775899911	8.94080522535102	1.09932667873604e-06	0.00174485130448984	5.98734232869078	214.260660718989	0.00125461318908464	0.00227803814891959	0.719037310432286	0.777091733870968	FALSE
CMTM8	0.90386880568204	6.3355296066697	8.79614594938167	1.30713490779472e-06	0.00188458011545025	5.82530596028158	110.845476543215	0.00135508341750751	0.00254025983937674	0.719037310432286	0.777091733870968	FALSE
TSHZ2	0.736604404685902	6.80831127967607	8.67781209492732	1.50842443437209e-06	0.00188458011545025	5.68243833877671	144.540534387273	0.00135508341750751	0.00278052097188479	0.719037310432286	0.777091733870968	FALSE
AK4	0.745057049190564	6.36953147603374	8.6489245737305	1.56244420564277e-06	0.00188458011545025	5.65175432816223	107.101543679297	0.00135508341750751	0.00284287065044301	0.719037310432286	0.777091733870968	FALSE
EFNB3	0.812169648085723	5.73618000303157	8.59823355029056	1.66230604941428e-06	0.00188458011545025	5.57921133913095	70.5833299354164	0.00135508341750751	0.00295589367376314	0.719037310432286	0.777091733870968	FALSE
RFX4	1.07865198782439	6.10069418243354	8.4956223217681	1.88598180186885e-06	0.00199562021061749	5.46693496790496	99.6823622804414	0.00143492538888671	0.00319909285361998	0.719037310432286	0.777091733870968	TRUE
WNT5A	0.748023355947683	5.99529522163745	8.37792460606554	2.1828675262943e-06	0.00216540458608395	5.32480546212065	82.7439402240202	0.00155700668957554	0.00350254286550793	0.719037310432286	0.777091733870968	FALSE
HOXB1	1.39921099614505	3.37717595615657	7.99168630845135	3.5646821501775e-06	0.00332815500515396	4.24416939510022	16.7578234871075	0.00239306762360765	0.00469559649757622	0.719037310432286	0.777091733870968	TRUE
FOXJ1	0.930876251465836	5.29368701254393	7.8090960823603	4.52130614383623e-06	0.00388549868704467	4.6042306078874	54.4463217900467	0.00279381852562078	0.00537628396251224	0.719037310432286	0.777091733870968	FALSE
ONECUT2	0.675756287703972	7.54927207025782	7.74261325240808	4.93484730698403e-06	0.00388549868704467	4.47813191783421	235.84299780049	0.00279381852562078	0.00564592501486171	0.719037310432286	0.777091733870968	FALSE
CNTN4	0.749280187353428	5.90568209580541	7.65994201203501	5.50623060356839e-06	0.00388549868704467	4.42526804541343	77.7975789859883	0.00279381852562078	0.00599964150899337	0.719037310432286	0.777091733870968	FALSE
FEZF2	-0.974975433512796	5.01676224157091	-7.60985921342339	5.88641179121571e-06	0.00388549868704467	4.3387069343597	45.4137238000895	0.00279381852562078	0.00622469250931779	0.719037310432286	0.777091733870968	FALSE
SPON1	0.598549228536964	10.3346749376432	7.69098697419568	5.28378983278776e-06	0.00388549868704467	4.31836738677815	1586.67400065716	0.00279381852562078	0.00586430720043917	0.719037310432286	0.777091733870968	FALSE
SRGAP3	0.712225927743943	6.26829108856698	7.58076484854229	6.12005211543075e-06	0.00388549868704467	4.31239600050912	98.546660216092	0.00279381852562078	0.00635948965658519	0.719037310432286	0.777091733870968	FALSE
DLK1	-0.490346787248432	11.1721495280981	-7.67984648867992	5.36248898327603e-06	0.00388549868704467	4.27732692944712	2735.24288379073	0.00279381852562078	0.00591251672261893	0.719037310432286	0.777091733870968	FALSE
IGFBP5	0.518100865354377	10.7424922493179	7.62639703272711	5.75786425157646e-06	0.00388549868704467	4.21741265727478	2048.59914933649	0.00279381852562078	0.00614942747835079	0.719037310432286	0.777091733870968	FALSE
THSD7A	0.728013134184319	6.31962904959449	7.41058029755138	7.70062188787729e-06	0.00470093348478417	4.08328261376545	102.936509118901	0.00338014656942028	0.00721728638898212	0.719037310432286	0.777091733870968	FALSE
ENSG00000240801	0.670385365050782	9.24898606363147	7.28562871763008	9.13604926189111e-06	0.00537064347721243	3.79399210324045	767.035610328223	0.00386169304114553	0.00793818562928562	0.719037310432286	0.777091733870968	FALSE
TPPP3	0.835790356466299	4.99820135350289	7.19703470120458	1.03252712268279e-05	0.00585295374686474	3.80840380606279	42.8279825864986	0.0042084921202302	0.00850917086150854	0.719037310432286	0.777091733870968	FALSE
COL3A1	-0.525601615970556	8.55943311413298	-7.12867820371676	1.13552681902058e-05	0.00621485574879124	3.59648625420083	453.224900755785	0.00446871316233548	0.00899094840773591	0.719037310432286	0.777091733870968	FALSE
SKAP2	0.708842344143578	6.06794797679535	6.99419166407586	1.37149900159712e-05	0.00680263504792172	3.5225935213112	85.8682399327386	0.00489134840871004	0.0100664666801706	0.719037310432286	0.777091733870968	FALSE
