logFC	AveExpr	t	P.Value	adj.P.Val	B
SLIT1	0.998431418841139	7.88226408629486	12.9789003324298	3.86674912060896e-09	8.83242834129499e-05	11.3339074523204
CHGA	1.26078022133827	5.88475882606561	11.8687332773437	1.21202382483227e-08	0.000138425241034094	9.96328987703321
BNIP3	1.19246709152338	6.23796676439903	10.9229038240133	3.44943256635227e-08	0.000262639795602062	9.12668438656006
GPC3	-0.78467539419129	7.54803018095146	-10.1246384860943	8.84134911780568e-08	0.000504885241372294	8.36136182673496
CNMD	1.21984947781724	5.0968437350854	9.70616630428725	1.48244178667187e-07	0.000583791577230962	7.54628761061334
SULF1	0.845852683876119	8.67103975667881	9.38744312935895	2.22299456613633e-07	0.000634720523496077	7.46640216964917
TF	1.31446720835942	4.7441140239206	9.67923577796176	1.5334688133201e-07	0.000583791577230962	7.36408980379824
MAB21L2	-1.18686498893825	4.52333311787824	-9.41608856037391	2.1426021377671e-07	0.000634720523496077	7.01450680961533
P4HA1	0.68353947330391	7.40990046852058	8.98923229826635	3.74247074168056e-07	0.00093372559121737	6.9610139089763
ARX	0.828896365899257	7.32176738339469	8.92301499166777	4.08775760098665e-07	0.00093372559121737	6.8746463441416
CMTM8	0.904084393886206	6.33294923106528	8.69897676420461	5.52969517205918e-07	0.00114826633745614	6.56244585424955
RFX4	1.07865052514644	6.09811380682911	8.61012018334793	6.2432788982004e-07	0.00118840813827245	6.43259106279343
TSHZ2	0.736694285460766	6.80573090407164	8.48169418134085	7.45214802591342e-07	0.00130939973236857	6.28813500842964
AK4	0.745134318655086	6.36695110042932	8.35448456297509	8.89671843012877e-07	0.0014515631598643	6.10988853920151
EFNB3	0.81216442392198	5.73359962742714	8.29507162060405	9.67046066851238e-07	0.00147261775060107	5.99719021890822
DLK1	-0.489271736963707	11.1695691524937	-8.21346666386614	1.08513740232972e-06	0.00154916928400097	5.78649781409189
WNT5A	0.748258717665321	5.99271484603302	8.08516121458355	1.30271271925836e-06	0.00165314244073886	5.73245452381082
SPON1	0.598487474989104	10.3320945620388	8.10131816747698	1.27293979619362e-06	0.00165314244073886	5.6631622248795
IGFBP5	0.516710773924318	10.7399118737135	8.00513378570128	1.46144485706821e-06	0.00175696439079747	5.50362445199595
ONECUT2	0.6761080305317	7.54669169465339	7.82383653200486	1.90173861654159e-06	0.00217197567395214	5.36111093948417
FOXJ1	0.931359220759627	5.29110663693951	7.71334636667182	2.23723303813296e-06	0.00232285804804695	5.17065096539577
ENSG00000240801	0.670047875566283	9.24640568802704	7.58778778913926	2.69585246459313e-06	0.00267733313027115	4.95176516073806
FEZF2	-0.975005773017934	5.01418186596648	-7.55422342433119	2.83459360935749e-06	0.00269782446770599	4.92118169601648
CNTN4	0.749269645057264	5.90310172020099	7.46221990374835	3.2549946897019e-06	0.00291227163057416	4.85500690831916
SRGAP3	0.712288294864885	6.26571071296256	7.45013945741128	3.31490510440978e-06	0.00291227163057416	4.83955646922536
THSD7A	0.728008183244004	6.31704867399006	7.30965042685701	4.10376921944005e-06	0.00347178875964628	4.63172298408293
HOXB1	1.39902977132985	3.37459558055214	7.74062214563658	2.14897567978985e-06	0.00232285804804695	4.47233511711662
COL3A1	-0.524031698024368	8.55685273852856	-7.22993119034108	4.63749954675283e-06	0.00378320588024744	4.43500312117925
IGF2	0.478470261710614	10.2385176006355	7.1185151619094	5.50936194782469e-06	0.00433947743490384	4.17639549877921
TPPP3	0.835648415480719	4.99562097789847	7.00473949001629	6.58014222339431e-06	0.00484241654652446	4.14226503378276
TBX3	-1.18987207925031	5.02178749032733	-6.98531571081487	6.78387748396737e-06	0.00484241654652446	4.11380891803263
COL1A2	-0.436677329436691	9.6606365526877	-7.00499950066892	6.57745913452775e-06	0.00484241654652446	4.02682906855672
SKAP2	0.709047687342231	6.06536760119093	6.87690223942173	8.04994678938233e-06	0.00525362527323061	3.98066465133221
TMC5	0.976130597175588	4.41929501913957	6.84479283884931	8.4709937448219e-06	0.0053748455310895	3.82518231119672
GATA2	0.890565460388014	4.47487869711579	6.78708712519822	9.28703668120543e-06	0.00573336464519174	3.75575092019254
ARMC3	1.31318093760928	3.81416362222256	6.8786656554408	8.02747142841315e-06	0.00525362527323061	3.67421378801481
ENSG00000289316	1.2175931639191	3.62296361888536	6.8856356187885	7.93928164858495e-06	0.00525362527323061	3.61687111993309
NLRP1	0.49066050482507	8.07138636745943	6.66903849606752	1.1225261663706e-05	0.00657454940826597	3.56863311725152
FOXP2	0.733850200432432	5.27382319057596	6.49261623848745	1.49539412999159e-05	0.00794367272494604	3.38833756245831
PLP1	0.699038934126414	6.27809190038935	6.49995900295311	1.47752424797534e-05	0.00794367272494604	3.38082107230594
H19	0.488205780334649	10.9308776458082	6.63803719254147	1.18018690979483e-05	0.00673945734838336	3.3583741631893
HOXB-AS1	0.792412148937067	5.07640340017914	6.44874520938738	1.60700412264472e-05	0.0081027696614548	3.3145301722228
MOXD1	-0.767222112592378	5.1947222780444	-6.43869514442924	1.63378368966304e-05	0.0081027696614548	3.30319691581881
NCAM1	0.608227615815104	7.89780871682749	6.46314478221199	1.56943593425778e-05	0.0081027696614548	3.2408061776198
SLC16A3	0.723840235075546	5.12349474982719	6.3863026624884	1.78118884293119e-05	0.00813718311004684	3.21932177409445
LOXL1	-0.500426668628933	7.26504783381329	-6.3925146281511	1.76300417867724e-05	0.00813718311004684	3.15508798581147
