logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
SPON1	2.24621235024058	9.51482777026614	35.6139746987119	2.96813452641032e-11	4.75851327274102e-07	16.5888902007642	1587.00236519665	3.10896738398451e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
SULF1	3.87441951454657	7.16782409868439	30.1924129523258	1.36063651358965e-10	8.85020399992575e-07	14.965829915897	548.075158933515	5.78226727557894e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
ARX	4.12336649537039	5.67625082421435	29.5546973668172	1.6561010478903e-10	8.85020399992575e-07	14.284179268819	214.293922155559	5.78226727557894e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
FOXA2	2.05363592354966	7.79343656464464	28.197144883118	2.55238070959042e-10	1.02299418840384e-06	14.4757850477445	449.806345468752	6.68371691631582e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
SLIT1	3.81428009837792	6.48150861589909	26.7351522306496	4.16319130841373e-10	1.33488566112978e-06	13.8396308451294	333.730518393492	8.72145509307473e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
IGF2	2.57052829683546	9.19614225436074	25.6284406900274	6.13706187258325e-10	1.40556251344649e-06	13.6172703716073	1428.75219486163	9.18322122896866e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
LINC00261	3.37813682301468	5.35980644047437	25.9950883776701	5.38706908401647e-10	1.40556251344649e-06	13.3485381442196	133.003637647131	9.18322122896866e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
ENSG00000240801	2.83942082642874	8.16173579461683	25.0647118958943	7.52583614394973e-10	1.41566147589219e-06	13.4178672194149	767.165926174563	9.24920264597047e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
LEFTY2	-2.52959206866412	9.06215551240042	-24.9162202858179	7.94720139909536e-10	1.41566147589219e-06	13.3564010613552	1294.17660106866	9.24920264597047e-07	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
DLK1	-1.7586504995612	11.8116018088196	-21.4916778344014	3.07323551429892e-09	4.92701117652403e-06	11.8748924384906	6647.78862806226	3.21905523224839e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
NTRK2	3.07477751272994	5.12097431744338	21.2566577305699	3.39753923555438e-09	4.9517590022189e-06	11.735549396896	102.072335251615	3.23522418639434e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
TSHZ2	2.33490486442224	6.00800475229356	20.6880835769556	4.35028020843124e-09	5.36489940781305e-06	11.657596432872	144.579769131959	3.5051488398268e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
CHGA	2.77064747195198	5.13290954172315	20.7926681176743	4.1548870613162e-09	5.36489940781305e-06	11.5857302163135	91.7790699672976	3.5051488398268e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
MOXD1	-2.68772647172031	6.15853047109375	-20.3259694180255	5.1094836556133e-09	5.85108871191375e-06	11.505883911526	182.980203558254	3.8227998796064e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
GPC3	-1.90429010356592	8.11502682411257	-19.4721120575411	7.55005801000671e-09	7.49243311917144e-06	11.0654121907286	540.34546828128	4.89516974295873e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
WNT5A	2.32241041105391	5.21033889617113	19.3632284725367	7.94482054802361e-09	7.49243311917144e-06	11.0222108850686	82.7579399003304	4.89516974295873e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
TF	4.20936845345605	3.31855176388942	19.4207389603212	7.73354471406631e-09	7.49243311917144e-06	9.90248141262823	42.7277192253267	4.89516974295873e-06	1.11830304513627e-05	0.653348473733199	0.672904191616767	TRUE
FOXA1	4.31955436956431	4.07963936414001	18.7559628155931	1.06109134728216e-08	9.45078693312646e-06	10.1921742821473	75.0067668380275	6.17465721833583e-06	1.16135072368746e-05	0.653348473733199	0.672904191616767	TRUE
RFX4	5.36230123532331	3.93403083938813	18.4315136676702	1.24306633996902e-08	1.04888629275702e-05	9.63233266703858	99.7085830260341	6.8528825849247e-06	1.28963402853476e-05	0.653348473733199	0.672904191616767	TRUE
CRYAB	2.19711451498387	5.43975247549878	17.8022098557379	1.7028282387067e-08	1.32289085272322e-05	10.3070273265684	92.613388261769	8.64308719542329e-06	1.61316925867352e-05	0.653348473733199	0.672904191616767	TRUE
FRZB	-2.95162042919957	5.69202818497997	-17.7678913706691	1.73282858702518e-08	1.32289085272322e-05	10.2926320722343	145.766861141206	8.64308719542329e-06	1.63418123018919e-05	0.653348473733199	0.672904191616767	TRUE
ZNF703	1.60785020960797	5.79862388155881	17.4864931695666	2.0020572030028e-08	1.45895368538822e-05	10.1474636364985	96.9442603875968	9.53205163595819e-06	1.82191508764089e-05	0.653348473733199	0.672904191616767	TRUE
GPM6B	1.22686600917715	7.46354061688458	17.3064528093386	2.19841061509309e-08	1.5323877817901e-05	9.97789700231811	269.173128606306	1.00118321839997e-05	1.95780731450951e-05	0.653348473733199	0.672904191616767	TRUE
DAB1	3.7142950670221	4.2104482710666	16.8534873569717	2.79337655476988e-08	1.86597553858628e-05	9.56570418566171	67.9075549867914	1.21913227015883e-05	2.36387410191647e-05	0.653348473733199	0.672904191616767	TRUE
ALCAM	1.81683576374683	7.70848172382004	16.7399384544318	2.96905649593069e-08	1.90399654971044e-05	9.6565903461135	392.982240267644	1.24397323974659e-05	2.48199187330085e-05	0.653348473733199	0.672904191616767	TRUE
CNTN4	3.47739691320172	4.57628236651098	16.5279346728814	3.33066661046076e-08	2.03740160918641e-05	9.53883086950087	77.8188112154992	1.33113323174351e-05	2.72232980129024e-05	0.653348473733199	0.672904191616767	TRUE
