logFC	AveExpr	t	P.Value	adj.P.Val	B	cpm_filter_value	qvalue	local_fdr	pi0_storey	pi0_lambda_0_5	threshold
NKX2-1	-3.3704434761275	7.73347396696883	-34.8549543446545	4.51891506405642e-16	7.12135824944652e-12	26.847251526069	686.018434514641	3.59493362562063e-12	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
ENSG00000240801	3.38713836058281	7.41008864189162	32.811664765422	1.13237405896978e-15	8.92254139765238e-12	26.0769588408248	549.066439675148	4.50418908484285e-12	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
DLK1	-1.42225176220437	11.949280777585	-31.3232883446938	2.29156013369872e-15	9.02817403673953e-12	25.6177702313279	6484.62451504671	4.55751350876816e-12	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
SLIT1	2.97521684532004	6.25419250240656	31.5577440833163	2.04635211873171e-15	9.02817403673953e-12	25.1996456595754	213.124853696177	4.55751350876816e-12	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
SPON1	1.7835361825509	9.38301077528607	28.887732579757	7.81496194445276e-15	2.46311970565262e-11	24.4116521265974	1232.63414419435	1.24340772414695e-11	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
IGF2	3.23639540476936	8.07302184160608	27.3158851217681	1.82114983239867e-14	4.78325003479511e-11	23.5399630161211	835.302572734979	2.41463296572285e-11	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
LINC00261	3.25242661609874	5.11511954661348	25.5215758334512	5.07550853770031e-14	1.14264198636599e-10	21.7499282192242	106.744826286663	5.76817224319854e-11	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
SULF1	2.42530170610519	6.82654950752365	24.595031019094	8.85542712027836e-14	1.74440844985583e-10	21.9333719805134	263.917785791333	8.80595017627555e-11	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
H19	2.57800926204611	8.95404548923266	24.0500885878402	1.24013933397126e-13	2.17148397378368e-10	21.6481407980976	1214.85464467887	1.09618705890242e-10	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
CHL1	2.04054169825702	6.02967888980544	23.5947530896141	1.65241594688924e-13	2.39306464210438e-10	21.2414611171709	132.006533624475	1.20804321996488e-10	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
HOTAIRM1	3.98628053624246	4.88248110534848	23.5777488175581	1.67039222432567e-13	2.39306464210438e-10	20.3730688706284	117.394816364612	1.20804321996488e-10	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
RFX4	3.23007017478728	4.55377688658957	21.257894296317	7.87067991512157e-13	1.03361703985334e-09	19.0870161008651	71.3594275484285	5.21780329317378e-10	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
WLS	2.00794111422748	5.89083691329771	20.0671744148787	1.85715742843331e-12	1.99455459999201e-09	18.9163099198384	118.270555082825	1.00687132264479e-09	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
OXTR	2.17923236037111	5.10720199893	20.0374782160909	1.89849095754046e-12	1.99455459999201e-09	18.7327142178905	73.2403896528195	1.00687132264479e-09	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
EPS8L1	2.77265538775236	4.68034206144337	20.1922933610589	1.69322420819105e-12	1.99455459999201e-09	18.602192117151	67.0566876256151	1.00687132264479e-09	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
PMEL	1.43147276534013	7.23888340659076	19.9079667246015	2.09052619919407e-12	2.0590376483187e-09	18.8373368121529	247.382112565687	1.03942301722218e-09	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
CRYAB	2.55300907264561	4.73316665383533	19.5758243284068	2.68375658974674e-12	2.48784235869523e-09	18.2504092343396	64.55256944099	1.25588796929461e-09	2.06881741042517e-06	0.504810107804931	0.550161812297735	TRUE
